"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"KB_100002129933";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"KB_100002129934";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"KB_100002129940";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"KB_100002103471";"";"Domáce spotrebiče > Vysávače > Tyčové vysávače";"";"";""
"KB_100002142425";"";"Domáce spotrebiče > Vysávače > Tyčové vysávače";"";"";""
"KB_100002136643";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"BAS_BASYS-AM 000-F8000";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-AM 000-F8100";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-AM 000-F7W00";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-AM 0504-ABD44";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-AM 000-F7Z00";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-AM 000-F7V00";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-AM 000-F7X00";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"057985";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";"";"";""
"067143";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";"";"";""
"093884";"";"Auto-moto > Elektronika do auta > Kamery do auta";"";"";""
"093551";"";"Auto-moto > Elektronika do auta > Kamery do auta";"";"";""
"093553";"";"Auto-moto > Elektronika do auta > Kamery do auta";"";"";""
"AT_LEC-KM2015";"";"Auto-moto > Elektronika do auta > Autorádiá";"";"";""
"AT_LEC-KM2016";"";"Auto-moto > Elektronika do auta > Autorádiá";"";"";""
"AT_LEC-KM2017";"";"Auto-moto > Elektronika do auta > Autorádiá";"";"";""
"AT_LEC-KM2018";"";"Auto-moto > Elektronika do auta > Autorádiá";"";"";""
"KB_999101048892";"";"Dielňa, náradie a záhrada > Ručné a elektrické náradie > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie";"";"";""
"KB_999015908892";"";"Dielňa, náradie a záhrada > Ručné a elektrické náradie > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie";"";"";""
"038964";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"038943";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";"";"";""
"038947";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";"";"";""
"038946";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";"";"";""
"060290";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";"";"";""
"060291";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";"";"";""
"PEN_10911010";"";"Energia a napájanie > Akumulátory a batérie > Nabíjacie batérie a gombíkové články";"";"";""
"PEN_54980650";"";"Energia a napájanie > Akumulátory a batérie";"";"";""
"089581";"";"Domáce spotrebiče > Príslušenstvo k vysávačom";"";"";""
"087019";"";"Domáce spotrebiče > Príslušenstvo k vysávačom";"";"";""
"089580";"";"Domáce spotrebiče > Príslušenstvo k vysávačom";"";"";""
"083770";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Batérie a nabíjačky pre kamery";"";"";""
"083771";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Batérie a nabíjačky pre kamery";"";"";""
"083769";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Batérie a nabíjačky pre kamery";"";"";""
"BAS_BASYS-305 EQ";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"BAS_BASYS-BB 560M";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá";"";"";""
"BAS_BASYS-BH40";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá";"";"";""
"BAS_BASYS-C-1U";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-C-2";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-C-3";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-DI4800A";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > DI boxy a audio izolátory";"";"";""
"BAS_BASYS-P16-HQ";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"BAS_BASYS-PMP1680S";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"BAS_BASYS-SL 75C";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-SL 85S";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-DI600P";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > DI boxy a audio izolátory";"";"";""
"BAS_BASYS-ULM300MIC";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-X18";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"BAS_BASYS-XR12";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"BAS_BASYS-XR16";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"BAS_BASYS-X32";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"KB_100001714821";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"KB_100002070645";"";"Domáce spotrebiče > Vysávače > Robotické vysávače";"";"";""
"KB_100002103586";"";"Domáce spotrebiče > Vysávače > Tyčové vysávače";"";"";""
"KB_100002103585";"";"Domáce spotrebiče > Vysávače > Tyčové vysávače";"";"";""
"KB_100002130285";"";"Domáce spotrebiče > Vysávače > Tyčové vysávače";"";"";""
"KB_100002073287";"";"Domáce spotrebiče > Príprava nápojov > Rýchlovarné kanvice";"";"";""
"KB_100001786129";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
"KB_100002104380";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002104320";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104382";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
"KB_100002104379";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002104378";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002104376";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
"KB_100002104377";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
"KB_100002128735";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104388";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002128736";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104386";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104389";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104387";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104384";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
"KB_100002128726";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002104321";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002202175";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002128468";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002104381";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002104318";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
