"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"TIP-07720191";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"EMO2202003000";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"ABL-30-B1-383";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-419";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ATO-3402127000";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"";"";""
"TIP-07720181";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"ATO-3402128000";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"";"";""
"TIP-06442515";"";"Energia a napájanie > Fotovoltaika";"Auto-moto > Autobatérie, nabíjačky a štartovacie boxy > Nabíjačky autobatérií";"Auto-moto > Elektromobilita";""
"ABL-30-B1-371";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-372";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-415";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-416";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-417";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-418";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-446";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-447";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-448";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"TIP-07720147";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720233";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"SPR-FVEPV6RE50";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"HAD-N351B";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"HAD-N351C";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"HAD-N345A-100";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"ABL-30-B1-315";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-330";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-349";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-481";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-482";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-499";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-517";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-518";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-519";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-520";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-566";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-607";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-608";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-609";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-634";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-635";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-006";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"LEC-MIE0428";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"LEC-MIE0469";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"ABL-30-B4-015";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B4-030";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"SK6MM5M";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"SK6MM5MRED";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"SPR-FVEPV6BL2";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"ATO-RA-1003";"";"Chovateľské potreby > Pelechy, škrabadlá a klietky > Škrabadlá pre mačky";"";"";""
"ATO-RA-1004";"";"Chovateľské potreby > Pelechy, škrabadlá a klietky > Škrabadlá pre mačky";"";"";""
"ATO-RA-1005";"";"Chovateľské potreby > Pelechy, škrabadlá a klietky > Škrabadlá pre mačky";"";"";""
"SPR-FVEBB41AB";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické konektory";"";"";""
"ABL-30-B1-251";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-271";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-284";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
