code;pairCode;name;guid;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;categoryText10;categoryText11;
"AT_ATO-L779";;"Oko kabelové 5,3mm, kabel 2,5-4mm2 (RNBL 3,5-5)";"40690854-a417-11f1-9603-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblová oká";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;;
"AT_ATO-L795";;"Oko kabelové 6,5mm, kabel 16-25mm2 (RNBS 22-6)";"40739c6a-a417-11f1-bf1c-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblová oká";"Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Káblová očká";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;
"AT_ATO-L780";;"Oko kabelové 6,5mm, kabel 2,5-4mm2 (RNB 3,5-6)";"407e0b46-a417-11f1-8c7b-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblová oká";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;;
"AT_ATO-L783";;"Oko kabelové 6,5mm, kabel 4-6mm2 (RNB 5,5-6)";"4088b1fe-a417-11f1-ace8-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblová oká";"Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Káblová očká";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;
"AT_ATO-L787";;"Oko kabelové 6,5mm, kabel 6-10mm2 (RNBS 8-6)";"4092cf18-a417-11f1-bab6-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblová oká";"Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Káblová očká";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;
"AT_EMS-ELKAOS0433737";;"Silový vodič H07V-K 1,50 černá (CYA)";"40ef99dc-a417-11f1-8235-bc2411e8af0e";"Elektroinštalačný materiál > Káble a vodiče > Silové káble";"Elektroinštalačný materiál > Káble a vodiče > Silové káble";"Fotovoltaika a energie > Fotovoltaika > Káble pre fotovoltaiku > Silové káble";;;;;;;;;;
"AT_ATO-K801";;"Pojistka trubičková 5x20 F 50mA";"414d192c-a417-11f1-8189-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";;;;;;;;;;;
"AT_ATO-K819";;"Pojistka trubičková 5x20 F 5A";"415a0222-a417-11f1-b068-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";;;;;;;;;;;
"AT_ATO-K821";;"Pojistka trubičková 5x20 F 6,3A";"41686ba0-a417-11f1-a571-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F)";;;;;;;;;;;
"AT_TOC-SX8106";;"Modul s nářadím do dílenského vozíku MECHANIC TOOL TRAY 6, 80ks SIXTOL";"41926e00-a417-11f1-9c0c-bc2411e8af0e";"Náradie a dielňa > Dielenské vybavenie > Kufre a organizéry na náradie";"Náradie a dielňa > Dielenské vybavenie > Kufre a organizéry na náradie";;;;;;;;;;;
