id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"40878";"40488";"elektroinstalacny-material-2";"0";"0";"";"1";"Svorkovnice a Wago svorky";"Svorkovnice a Wago svorky";"svorkovnice-a-wago-svorky";"";"";"Svorkovnice a Wago svorky | PremiumStore.sk";"Svorkovnice a Wago svorky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40521";"40518";"prislusenstvo-vrtacky--skrutkovace--utahovaky";"0";"0";"";"1";"005 Vykružovače a vŕtacie korunky";"005 Vykružovače a vŕtacie korunky";"005-vykruzovace-a-vrtacie-korunky";"";"";"005 Vykružovače a vŕtacie korunky | PremiumStore.sk";"005 Vykružovače a vŕtacie korunky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40590";"40587";"hracky-pre-kluky";"0";"0";"";"1";"Detské zbrane";"Detské zbrane";"detske-zbrane";"";"";"Detské zbrane | PremiumStore.sk";"Detské zbrane v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40614";"40611";"aku-naradie";"0";"0";"";"1";"AKU Svetlá a svietidlá";"AKU Svetlá a svietidlá";"aku-svetla-a-svietidla";"";"";"AKU Svetlá a svietidlá | PremiumStore.sk";"AKU Svetlá a svietidlá: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40647";"40644";"vstavane-chladenie";"0";"0";"";"1";"Vstavané kombinované chladničky";"Vstavané kombinované chladničky";"vstavane-kombinovane-chladnicky";"";"";"Vstavané kombinované chladničky | PremiumStore.sk";"Vstavané kombinované chladničky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"48129";"40644";"vstavane-chladenie";"0";"0";"";"1";"Vstavané chladničky s mraziace priehradkou";"Vstavané chladničky s mraziace priehradkou";"vstavane-chladnicky-s-mraziace-priehradkou";"";"";"";"";
"48141";"40644";"vstavane-chladenie";"0";"0";"";"1";"Vstavané monoklimatické chladničky";"Vstavané monoklimatické chladničky";"vstavane-monoklimaticke-chladnicky";"";"";"";"";
"46191";"40671";"fotovoltaika-a-energie";"0";"0";"";"1";"Powerbanky";"Powerbanky";"powerbanky-3";"";"";"Fotovoltaika a energie – Powerbanky | PremiumStore.sk";"Fotovoltaika a energie – Powerbanky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46611";"40671";"fotovoltaika-a-energie";"0";"0";"";"1";"Fotovoltaické panely";"Fotovoltaické panely";"fotovoltaicke-panely";"";"";"Fotovoltaika a energie – Fotovoltaické panely | PremiumStore.sk";"Fotovoltaika a energie – Fotovoltaické panely v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40677";"40674";"nabijacky";"0";"0";"";"1";"Powerbanky";"Powerbanky";"powerbanky";"";"";"Nabíjačky – Powerbanky | PremiumStore.sk";"Nabíjačky – Powerbanky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42369";"40674";"nabijacky";"0";"0";"";"1";"Stanice pre elektrokola";"Stanice pre elektrokola";"stanice-pre-elektrokola";"";"";"Stanice pre elektrokola | PremiumStore.sk";"Stanice pre elektrokola – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"43470";"40674";"nabijacky";"0";"0";"";"1";"Nabíjačky NiCd, NiMh, NiZn";"Nabíjačky NiCd, NiMh, NiZn";"nabijacky-nicd--nimh--nizn";"";"";"Nabíjačky NiCd, NiMh, NiZn | PremiumStore.sk";"Nabíjačky NiCd, NiMh, NiZn – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"43692";"40674";"nabijacky";"0";"0";"";"1";"Ochrana batérií";"Ochrana batérií";"ochrana-baterii";"";"";"Ochrana batérií | PremiumStore.sk";"Ochrana batérií: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"44514";"40674";"nabijacky";"0";"0";"";"1";"Solárne nabíjačky";"Solárne nabíjačky";"solarne-nabijacky";"";"";"Nabíjačky – Solárne nabíjačky | PremiumStore.sk";"Nabíjačky – Solárne nabíjačky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44541";"40674";"nabijacky";"0";"0";"";"1";"Nabíjačky DC-DC";"Nabíjačky DC-DC";"nabijacky-dc-dc";"";"";"Nabíjačky DC-DC | PremiumStore.sk";"Nabíjačky DC-DC – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"40695";"40692";"domove-alarmy-a-zvonceky";"0";"0";"";"1";"Bezpečnostní kamery";"Bezpečnostní kamery";"bezpecnostni-kamery";"";"";"Bezpečnostní kamery | PremiumStore.sk";"Bezpečnostní kamery na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40716";"40713";"elektrovozidla";"0";"0";"";"1";"Elektrokolobežky";"Elektrokolobežky";"elektrokolobezky";"";"";"Elektrokolobežky | PremiumStore.sk";"Elektrokolobežky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45888";"40749";"chovatelske-potreby";"0";"0";"";"1";"Ostatné príslušenstvo";"Ostatné príslušenstvo";"ostatne-prislusenstvo";"";"";"Ostatné príslušenstvo | PremiumStore.sk";"Ostatné príslušenstvo skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45900";"40749";"chovatelske-potreby";"0";"0";"";"1";"Pohlcovače zápachu";"Pohlcovače zápachu";"pohlcovace-zapachu";"";"";"Pohlcovače zápachu | PremiumStore.sk";"Pohlcovače zápachu: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45936";"40749";"chovatelske-potreby";"0";"0";"";"1";"Hračky";"Hračky";"hracky-2";"";"";"Chovateľské potreby – Hračky | PremiumStore.sk";"Chovateľské potreby – Hračky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"46032";"40749";"chovatelske-potreby";"0";"0";"";"1";"Starostlivosť o zvieratá";"Starostlivosť o zvieratá";"starostlivost-o-zvierata";"";"";"Starostlivosť o zvieratá | PremiumStore.sk";"Starostlivosť o zvieratá – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"48189";"40749";"chovatelske-potreby";"0";"0";"";"1";"Prepravky";"Prepravky";"prepravky";"";"";"";"";
"48192";"40749";"chovatelske-potreby";"0";"0";"";"1";"Klece a ohrádky";"Klece a ohrádky";"klece-a-ohradky";"";"";"";"";
"40836";"40833";"frezy-a-frezky";"0";"0";"";"1";"Príslušenstvo";"Príslušenstvo";"prislusenstvo-3";"";"";"Frézy a frézky – Príslušenstvo | PremiumStore.sk";"Frézy a frézky – Príslušenstvo – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42876";"40854";"posilnovanie-a-fitness";"0";"0";"";"1";"Príslušenstvo pre posilňovanie";"Príslušenstvo pre posilňovanie";"prislusenstvo-pre-posilnovanie";"";"";"Príslušenstvo pre posilňovanie | PremiumStore.sk";"Príslušenstvo pre posilňovanie: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40860";"40857";"upratovanie--cistenie-a-umyvanie";"0";"0";"";"1";"Čističe";"Čističe";"cistice";"";"";"Čističe | PremiumStore.sk";"Čističe – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"40887";"40884";"vlasova-kozmetika";"0";"0";"";"1";"Balzámy a kondicionéry";"Balzámy a kondicionéry";"balzamy-a-kondicionery";"";"";"Balzámy a kondicionéry | PremiumStore.sk";"Balzámy a kondicionéry v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44652";"40905";"vybavenie-auta";"0";"0";"";"1";"Ventilátory";"Ventilátory";"ventilatory-2";"";"";"Vybavenie autá – Ventilátory | PremiumStore.sk";"Vybavenie autá – Ventilátory v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44832";"40905";"vybavenie-auta";"0";"0";"";"1";"Odpojovač batérie";"Odpojovač batérie";"odpojovac-baterie";"";"";"Odpojovač batérie | PremiumStore.sk";"Odpojovač batérie – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44448";"40908";"autoziarovky";"0";"0";"";"1";"CSP LED žiarovky";"CSP LED žiarovky";"csp-led-ziarovky";"";"";"CSP LED žiarovky | PremiumStore.sk";"CSP LED žiarovky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44610";"40908";"autoziarovky";"0";"0";"";"1";"24V";"24V";"24v";"";"";"Autožiarovky – 24V | PremiumStore.sk";"Autožiarovky – 24V skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45090";"40908";"autoziarovky";"0";"0";"";"1";"12V Excelite";"12V Excelite";"12v-excelite";"";"";"12V Excelite | PremiumStore.sk";"12V Excelite na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44406";"40926";"ochranne-pomocky-a-odevy";"0";"0";"";"1";"Kukly a štíty";"Kukly a štíty";"kukly-a-stity";"";"";"Kukly a štíty | PremiumStore.sk";"Kukly a štíty na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44616";"40926";"ochranne-pomocky-a-odevy";"0";"0";"";"1";"Okuliare";"Okuliare";"okuliare";"";"";"Okuliare | PremiumStore.sk";"Okuliare – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45486";"40926";"ochranne-pomocky-a-odevy";"0";"0";"";"1";"Chrániče sluchu";"Chrániče sluchu";"chranice-sluchu";"";"";"Ochranné pomôcky a odevy – Chrániče sluchu | PremiumStore.sk";"Ochranné pomôcky a odevy – Chrániče sluchu skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42372";"40932";"cyklistika";"0";"0";"";"1";"Elektrokola";"Elektrokola";"elektrokola";"";"";"Elektrokola | PremiumStore.sk";"Elektrokola na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"43428";"40932";"cyklistika";"0";"0";"";"1";"Pumpy na kolo";"Pumpy na kolo";"pumpy-na-kolo";"";"";"Pumpy na kolo | PremiumStore.sk";"Pumpy na kolo – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44670";"40932";"cyklistika";"0";"0";"";"1";"Zámky na kolo";"Zámky na kolo";"zamky-na-kolo";"";"";"Zámky na kolo | PremiumStore.sk";"Zámky na kolo – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"45123";"40932";"cyklistika";"0";"0";"";"1";"Stojany a držiaky na kolesá";"Stojany a držiaky na kolesá";"stojany-a-drziaky-na-kolesa";"";"";"Stojany a držiaky na kolesá | PremiumStore.sk";"Stojany a držiaky na kolesá na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45126";"40932";"cyklistika";"0";"0";"";"1";"Ostatné cyklo doplnky";"Ostatné cyklo doplnky";"ostatne-cyklo-doplnky";"";"";"Ostatné cyklo doplnky | PremiumStore.sk";"Ostatné cyklo doplnky skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45135";"40932";"cyklistika";"0";"0";"";"1";"Cyklodržáky";"Cyklodržáky";"cyklodrzaky";"";"";"Cyklodržáky | PremiumStore.sk";"Cyklodržáky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"43275";"40941";"bezpecnost";"0";"0";"";"1";"Testery alkoholu";"Testery alkoholu";"testery-alkoholu-2";"";"";"Bezpečnosť – Testery alkoholu | PremiumStore.sk";"Bezpečnosť – Testery alkoholu – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"44682";"40941";"bezpecnost";"0";"0";"";"1";"Kamery do autá";"Kamery do autá";"kamery-do-auta-2";"";"";"Bezpečnosť – Kamery do autá | PremiumStore.sk";"Bezpečnosť – Kamery do autá: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"44349";"40950";"istice-a-chranice";"0";"0";"";"1";"Motorové ističe";"Motorové ističe";"motorove-istice";"";"";"Motorové ističe | PremiumStore.sk";"Motorové ističe na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44751";"40950";"istice-a-chranice";"0";"0";"";"1";"Pojistné odpojovače";"Pojistné odpojovače";"pojistne-odpojovace";"";"";"Pojistné odpojovače | PremiumStore.sk";"Pojistné odpojovače na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44829";"40950";"istice-a-chranice";"0";"0";"";"1";"Odpojovače batérií";"Odpojovače batérií";"odpojovace-baterii-2";"";"";"Ističe a chrániče – Odpojovače batérií | PremiumStore.sk";"Ističe a chrániče – Odpojovače batérií – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45144";"40950";"istice-a-chranice";"0";"0";"";"1";"Pojistková puzdrá";"Pojistková puzdrá";"pojistkova-puzdra";"";"";"Pojistková puzdrá | PremiumStore.sk";"Pojistková puzdrá na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45168";"40950";"istice-a-chranice";"0";"0";"";"1";"Ističe DC";"Ističe DC";"istice-dc";"";"";"Ističe DC | PremiumStore.sk";"Ističe DC na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44925";"40956";"fotovoltaika";"0";"0";"";"1";"Solárne nabíjačky";"Solárne nabíjačky";"solarne-nabijacky-2";"";"";"Fotovoltaika – Solárne nabíjačky | PremiumStore.sk";"Fotovoltaika – Solárne nabíjačky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45360";"40956";"fotovoltaika";"0";"0";"";"1";"Solárne batérie";"Solárne batérie";"solarne-baterie-2";"";"";"Fotovoltaika – Solárne batérie | PremiumStore.sk";"Fotovoltaika – Solárne batérie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"47934";"40956";"fotovoltaika";"0";"0";"";"1";"Batérie a príslušenstvo";"Batérie a príslušenstvo";"baterie-a-prislusenstvo";"";"";"Batérie a príslušenstvo | PremiumStore.sk";"Batérie a príslušenstvo na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"47940";"40956";"fotovoltaika";"0";"0";"";"1";"Meniče";"Meniče";"menice";"";"";"Meniče | PremiumStore.sk";"Meniče na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44625";"40962";"brany-a-zvonceky";"0";"0";"";"1";"Poštovní schránky";"Poštovní schránky";"postovni-schranky";"";"";"Poštovní schránky | PremiumStore.sk";"Poštovní schránky skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"44964";"40962";"brany-a-zvonceky";"0";"0";"";"1";"Pohony pre garážová vrata";"Pohony pre garážová vrata";"pohony-pre-garazova-vrata";"";"";"Pohony pre garážová vrata | PremiumStore.sk";"Pohony pre garážová vrata: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45222";"40962";"brany-a-zvonceky";"0";"0";"";"1";"Schránky na kľúče";"Schránky na kľúče";"schranky-na-kluce";"";"";"Schránky na kľúče | PremiumStore.sk";"Schránky na kľúče v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45327";"40962";"brany-a-zvonceky";"0";"0";"";"1";"Pohony posuvné vrata";"Pohony posuvné vrata";"pohony-posuvne-vrata";"";"";"Pohony posuvné vrata | PremiumStore.sk";"Pohony posuvné vrata na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"48180";"40962";"brany-a-zvonceky";"0";"0";"";"1";"Visací zámky";"Visací zámky";"visaci-zamky";"";"";"";"";
"44061";"40968";"zahradne-naradie-2";"0";"0";"";"1";"Lopaty";"Lopaty";"lopaty";"";"";"Lopaty | PremiumStore.sk";"Lopaty – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44712";"40968";"zahradne-naradie-2";"0";"0";"";"1";"Sady záhradného náradie";"Sady záhradného náradie";"sady-zahradneho-naradie";"";"";"Sady záhradného náradie | PremiumStore.sk";"Sady záhradného náradie – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45423";"40968";"zahradne-naradie-2";"0";"0";"";"1";"Hrable";"Hrable";"hrable";"";"";"Hrable | PremiumStore.sk";"Hrable v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"42069";"40980";"garaz--dielna--servis";"0";"0";"";"1";"Kanystry";"Kanystry";"kanystry";"";"";"Kanystry | PremiumStore.sk";"Kanystry – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"42549";"40980";"garaz--dielna--servis";"0";"0";"";"1";"Čerpadlá";"Čerpadlá";"cerpadla-3";"";"";"Garáž, Dielňa, Servis – Čerpadlá | PremiumStore.sk";"Garáž, Dielňa, Servis – Čerpadlá – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44847";"40980";"garaz--dielna--servis";"0";"0";"";"1";"Hasicí prístroje";"Hasicí prístroje";"hasici-pristroje-2";"";"";"Hasicí prístroje | PremiumStore.sk";"Hasicí prístroje: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"44301";"40983";"specialne-naradie-a-pripravky";"0";"0";"";"1";"Navijaky a zdviháky";"Navijaky a zdviháky";"navijaky-a-zdvihaky";"";"";"Navijaky a zdviháky | PremiumStore.sk";"Navijaky a zdviháky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"44583";"40983";"specialne-naradie-a-pripravky";"0";"0";"";"1";"Testery";"Testery";"testery-3";"";"";"Špeciálne náradie a prípravky – Testery | PremiumStore.sk";"Špeciálne náradie a prípravky – Testery: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"44937";"40983";"specialne-naradie-a-pripravky";"0";"0";"";"1";"Exteriér";"Exteriér";"exterier-2";"";"";"Exteriér | PremiumStore.sk";"Exteriér v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"41541";"40986";"brzdy";"0";"0";"";"1";"Výměna brzdové kvapaliny";"Výměna brzdové kvapaliny";"vymena-brzdove-kvapaliny";"";"";"Výměna brzdové kvapaliny | PremiumStore.sk";"Výměna brzdové kvapaliny skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45651";"40986";"brzdy";"0";"0";"";"1";"Ostatné prípravky na brzdy";"Ostatné prípravky na brzdy";"ostatne-pripravky-na-brzdy";"";"";"Ostatné prípravky na brzdy | PremiumStore.sk";"Ostatné prípravky na brzdy v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43944";"40992";"zalozne-zdroje-a-ups";"0";"0";"";"1";"Hybridní zdroje energia";"Hybridní zdroje energia";"hybridni-zdroje-energia";"";"";"Hybridní zdroje energia | PremiumStore.sk";"Hybridní zdroje energia v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43818";"40998";"meracie-technika";"0";"0";"";"1";"Meranie vody, plynu, vykurovanie, elektřiny";"Meranie vody, plynu, vykurovanie, elektřiny";"meranie-vody--plynu--vykurovanie--elektriny";"";"";"Meranie vody, plynu, vykurovanie, elektřiny | PremiumStore.sk";"Meranie vody, plynu, vykurovanie, elektřiny skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"44571";"41004";"kable-a-vodice";"0";"0";"";"1";"Auto káble";"Auto káble";"auto-kable";"";"";"Auto káble | PremiumStore.sk";"Auto káble: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45198";"41004";"kable-a-vodice";"0";"0";"";"1";"Mikrofonní káble";"Mikrofonní káble";"mikrofonni-kable";"";"";"Mikrofonní káble | PremiumStore.sk";"Mikrofonní káble v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"41088";"41016";"kamerove-systemy";"0";"0";"";"1";"HDCVI, HDTVI, AHD kamery";"HDCVI, HDTVI, AHD kamery";"hdcvi--hdtvi--ahd-kamery";"";"";"HDCVI, HDTVI, AHD kamery | PremiumStore.sk";"HDCVI, HDTVI, AHD kamery – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"41571";"41016";"kamerove-systemy";"0";"0";"";"1";"Kamerové sety";"Kamerové sety";"kamerove-sety";"";"";"Kamerové sety | PremiumStore.sk";"Kamerové sety: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"43566";"41016";"kamerove-systemy";"0";"0";"";"1";"HDCVI a 5v1 videorekordéry";"HDCVI a 5v1 videorekordéry";"hdcvi-a-5v1-videorekordery";"";"";"HDCVI a 5v1 videorekordéry | PremiumStore.sk";"HDCVI a 5v1 videorekordéry na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"43779";"41016";"kamerove-systemy";"0";"0";"";"1";"Atrapy kamer";"Atrapy kamer";"atrapy-kamer";"";"";"Atrapy kamer | PremiumStore.sk";"Atrapy kamer v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44934";"41016";"kamerove-systemy";"0";"0";"";"1";"Akční kamery";"Akční kamery";"akcni-kamery";"";"";"Akční kamery | PremiumStore.sk";"Akční kamery: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"43461";"41019";"prislusenstvo-4";"0";"0";"";"1";"Držiaky";"Držiaky";"drziaky";"";"";"PRÍSLUŠENSTVO – Držiaky | PremiumStore.sk";"PRÍSLUŠENSTVO – Držiaky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44595";"41019";"prislusenstvo-4";"0";"0";"";"1";"Prevodníky";"Prevodníky";"prevodniky";"";"";"Prevodníky | PremiumStore.sk";"Prevodníky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44727";"41019";"prislusenstvo-4";"0";"0";"";"1";"Nálepky, knihy";"Nálepky, knihy";"nalepky--knihy";"";"";"Nálepky, knihy | PremiumStore.sk";"Nálepky, knihy: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"44730";"41019";"prislusenstvo-4";"0";"0";"";"1";"Ostatné";"Ostatné";"ostatne-9";"";"";"PRÍSLUŠENSTVO – Ostatné | PremiumStore.sk";"PRÍSLUŠENSTVO – Ostatné na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45708";"41019";"prislusenstvo-4";"0";"0";"";"1";"Pamäťové karty";"Pamäťové karty";"pamatove-karty-3";"";"";"PRÍSLUŠENSTVO – Pamäťové karty | PremiumStore.sk";"PRÍSLUŠENSTVO – Pamäťové karty – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"48438";"41019";"prislusenstvo-4";"0";"0";"";"1";"Ostatné príslušenstvo ku kamerám";"Ostatné príslušenstvo ku kamerám";"ostatne-prislusenstvo-ku-kameram";"";"";"";"";
"43308";"41052";"bloky-pre-rozdeleni-fazi";"0";"0";"";"1";"Typ PVB (""hranaté"") 160 - 500 A";"Typ PVB (""hranaté"") 160 - 500 A";"typ-pvb-hranate-160-500-a";"";"";"Typ PVB (""hranaté"") 160 - 500 A | PremiumStore.sk";"Typ PVB (""hranaté"") 160 - 500 A skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"43323";"41052";"bloky-pre-rozdeleni-fazi";"0";"0";"";"1";"Typ PDB 160 - 490 A";"Typ PDB 160 - 490 A";"typ-pdb-160-490-a";"";"";"Typ PDB 160 - 490 A | PremiumStore.sk";"Typ PDB 160 - 490 A na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45681";"41052";"bloky-pre-rozdeleni-fazi";"0";"0";"";"1";"Typ PVBS";"Typ PVBS";"typ-pvbs";"";"";"Typ PVBS | PremiumStore.sk";"Typ PVBS v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"41814";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"D veľké monočlánky";"D veľké monočlánky";"d-velke-monoclanky";"";"";"D veľké monočlánky | PremiumStore.sk";"D veľké monočlánky v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"41817";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"9V";"9V";"9v";"";"";"9V | PremiumStore.sk";"9V na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42171";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"Autobatérie";"Autobatérie";"autobaterie";"";"";"Akumulátory a batérie – Autobatérie | PremiumStore.sk";"Akumulátory a batérie – Autobatérie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"43422";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"C malé monočlánky";"C malé monočlánky";"c-male-monoclanky";"";"";"C malé monočlánky | PremiumStore.sk";"C malé monočlánky v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43464";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"AAA mikrotužkové";"AAA mikrotužkové";"aaa-mikrotuzkove";"";"";"Akumulátory a batérie – AAA mikrotužkové | PremiumStore.sk";"Akumulátory a batérie – AAA mikrotužkové v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44079";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"Li-Ion nabíjacie akumulátory";"Li-Ion nabíjacie akumulátory";"li-ion-nabijacie-akumulatory";"";"";"Li-Ion nabíjacie akumulátory | PremiumStore.sk";"Li-Ion nabíjacie akumulátory: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"44457";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"Batérie do AKU náradie";"Batérie do AKU náradie";"baterie-do-aku-naradie";"";"";"Batérie do AKU náradie | PremiumStore.sk";"Batérie do AKU náradie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45357";"41070";"akumulatory-a-baterie";"0";"0";"";"1";"Solárne batérie";"Solárne batérie";"solarne-baterie";"";"";"Akumulátory a batérie – Solárne batérie | PremiumStore.sk";"Akumulátory a batérie – Solárne batérie v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44871";"41073";"olovene-akumulatory";"0";"0";"";"1";"48V";"48V";"48v";"";"";"48V | PremiumStore.sk";"48V na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45432";"41073";"olovene-akumulatory";"0";"0";"";"1";"4V";"4V";"4v";"";"";"4V | PremiumStore.sk";"4V skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45558";"41073";"olovene-akumulatory";"0";"0";"";"1";"36V";"36V";"36v";"";"";"36V | PremiumStore.sk";"36V skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
