id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"40755";"39444";"autoradia";"0";"0";"";"1";"Príslušenstvo do autá";"Príslušenstvo do autá";"prislusenstvo-do-auta";"";"";"Príslušenstvo do autá | PremiumStore.sk";"Príslušenstvo do autá na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40902";"39444";"autoradia";"0";"0";"";"1";"Autorádiá s DVD";"Autorádiá s DVD";"autoradia-s-dvd";"";"";"Autorádiá s DVD | PremiumStore.sk";"Autorádiá s DVD v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"39786";"39483";"prislusenstvo-k-malym-spotrebicom";"0";"0";"";"1";"Príslušenstvo ku grilom";"Príslušenstvo ku grilom";"prislusenstvo-ku-grilom";"";"";"Príslušenstvo ku grilom | PremiumStore.sk";"Príslušenstvo ku grilom – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"39870";"39483";"prislusenstvo-k-malym-spotrebicom";"0";"0";"";"1";"Vône do vysávače";"Vône do vysávače";"vone-do-vysavace";"";"";"Vône do vysávače | PremiumStore.sk";"Vône do vysávače v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40875";"39483";"prislusenstvo-k-malym-spotrebicom";"0";"0";"";"1";"Príslušenstvo ku vzduchotechnike";"Príslušenstvo ku vzduchotechnike";"prislusenstvo-ku-vzduchotechnike";"";"";"Príslušenstvo ku vzduchotechnike | PremiumStore.sk";"Príslušenstvo ku vzduchotechnike skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"39675";"39489";"kavovary-a-espressa";"0";"0";"";"1";"Mlynčeky na kávu";"Mlynčeky na kávu";"mlynceky-na-kavu";"";"";"Mlynčeky na kávu | PremiumStore.sk";"Mlynčeky na kávu – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39918";"39489";"kavovary-a-espressa";"0";"0";"";"1";"Napěňovače mlieka";"Napěňovače mlieka";"napenovace-mlieka";"";"";"Napěňovače mlieka | PremiumStore.sk";"Napěňovače mlieka skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40851";"39549";"varne-dosky";"0";"0";"";"1";"Elektrické varné dosky";"Elektrické varné dosky";"elektricke-varne-dosky";"";"";"Elektrické varné dosky | PremiumStore.sk";"Elektrické varné dosky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39657";"39567";"fritezy-a-hrnce";"0";"0";"";"1";"Zaváracie hrnce";"Zaváracie hrnce";"zavaracie-hrnce";"";"";"Zaváracie hrnce | PremiumStore.sk";"Zaváracie hrnce: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39984";"39567";"fritezy-a-hrnce";"0";"0";"";"1";"Ryžovary";"Ryžovary";"ryzovary";"";"";"Ryžovary | PremiumStore.sk";"Ryžovary skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
