id;parentId;depth;name;url;full_path
g95;nmtx2zmrqmyq3yo;1;Kávovary a espressá;kavovary-a-espressa;Domáce spotrebiče > Kávovary a espressá
g100;nmtx2zmrqmyq3yo;1;Meteostanice;meteostanice;Domáce spotrebiče > Meteostanice
g117;nmtx2zmrqmyq3yo;1;Mikrovlnné rúry;mikrovlnne-rury;Domáce spotrebiče > Mikrovlnné rúry
g122;nmtx2zmrqmyq3yo;1;Mrazničky;mraznicky;Domáce spotrebiče > Mrazničky
g102;nmtx2zmrqmyq3yo;1;Nádobie;nadobie;Domáce spotrebiče > Nádobie
g109;nmtx2zmrqmyq3yo;1;Ostatné domáce spotrebiče;ostatne-domace-spotrebice;Domáce spotrebiče > Ostatné domáce spotrebiče
g107;nmtx2zmrqmyq3yo;1;Potreby pre domácnosť;potreby-pre-domacnost;Domáce spotrebiče > Potreby pre domácnosť
g115;nmtx2zmrqmyq3yo;1;Práčky;pracky;Domáce spotrebiče > Práčky
g92;nmtx2zmrqmyq3yo;1;Príprava nápojov;priprava-napojov;Domáce spotrebiče > Príprava nápojov
g94;nmtx2zmrqmyq3yo;1;Príslušenstvo k malým spotrebičom;prislusenstvo-k-malym-spotrebicom;Domáce spotrebiče > Príslušenstvo k malým spotrebičom
g88;nmtx2zmrqmyq3yo;1;Sanitárna technika;sanitarna-technika;Domáce spotrebiče > Sanitárna technika
g105;nmtx2zmrqmyq3yo;1;Sendvičovače, hriankovače, vaflovače;sendvicovace--hriankovace--vaflovace;Domáce spotrebiče > Sendvičovače, hriankovače, vaflovače
g119;nmtx2zmrqmyq3yo;1;Sporáky a rúry;sporaky-a-rury;Domáce spotrebiče > Sporáky a rúry
g112;nmtx2zmrqmyq3yo;1;Spotrebiče na párty a oslavy;na-party-a-oslavy;Domáce spotrebiče > Spotrebiče na párty a oslavy
g116;nmtx2zmrqmyq3yo;1;Sušičky bielizne;susicky;Domáce spotrebiče > Sušičky bielizne
g108;nmtx2zmrqmyq3yo;1;Sušičky potravín;susicky-potravin;Domáce spotrebiče > Sušičky potravín
g111;nmtx2zmrqmyq3yo;1;Teplomery;teplomery-3;Domáce spotrebiče > Teplomery
g120;nmtx2zmrqmyq3yo;1;Umývačky riadu;umyvacky-riadu;Domáce spotrebiče > Umývačky riadu
g93;nmtx2zmrqmyq3yo;1;Upratovacie pomôcky;upratovacie-pomocky;Domáce spotrebiče > Upratovacie pomôcky
g124;nmtx2zmrqmyq3yo;1;Varné dosky;varne-dosky;Domáce spotrebiče > Varné dosky
g118;nmtx2zmrqmyq3yo;1;Vinotéky a vitríny;vinoteky-a-vitriny;Domáce spotrebiče > Vinotéky a vitríny
g128;nmtx2zmrqmyq3yo;1;Vstavané chladenie;vstavane-chladenie;Domáce spotrebiče > Vstavané chladenie
g127;nmtx2zmrqmyq3yo;1;Vstavané mikrovlnné rúry;vstavane-mikrovlnne-rury;Domáce spotrebiče > Vstavané mikrovlnné rúry
g123;nmtx2zmrqmyq3yo;1;Vstavané rúry;vstavane-rury;Domáce spotrebiče > Vstavané rúry
g125;nmtx2zmrqmyq3yo;1;Vstavané umývačky riadu;vstavane-umyvacky-riadu;Domáce spotrebiče > Vstavané umývačky riadu
g121;nmtx2zmrqmyq3yo;1;Vykurovanie a ohrev vody;vykurovanie-a-ohrev-vody;Domáce spotrebiče > Vykurovanie a ohrev vody
g89;nmtx2zmrqmyq3yo;1;Vysávače;vysavace;Domáce spotrebiče > Vysávače
g98;nmtx2zmrqmyq3yo;1;Vákuovačky a zváračky fólií;vakuovacky-a-zvaracky-folii;Domáce spotrebiče > Vákuovačky a zváračky fólií
g113;nmtx2zmrqmyq3yo;1;Čistiace prístroje a doplnky;cistiace-pristroje-a-doplnky;Domáce spotrebiče > Čistiace prístroje a doplnky
