depth;full_path;url
3;Akcie > Predĺžená záruka > TCL 5 rokov záruky;https://www.planeo.sk/tcl-5-rokov-zaruky
3;Akcie > Predĺžená záruka > Záruka 5 rokov na magnetron;https://www.planeo.sk/zaruka-na-magnetron-5-rokov
3;Akcie > Predĺžená záruka > Záruka na motor 10 rokov;https://www.planeo.sk/zaruka-na-motor-10-rokov
2;Akcie > Rozbalené kusy / Posledné kusy skladom / Vystavené kusy;https://www.planeo.sk/rozbalene-kusy
2;Akcie > Sady tovarov;https://www.planeo.sk/vyhodne-sety-spotrebicov
3;Akcie > Sady tovarov > Darčekové poukazy;https://www.planeo.sk/darcekove-poukazy
3;Akcie > Sady tovarov > Sady AV;https://www.planeo.sk/sady-av
3;Akcie > Sady tovarov > Sady IT;https://www.planeo.sk/sady-it
3;Akcie > Sady tovarov > Sady Sodastream;https://www.planeo.sk/sady-sodastream
3;Akcie > Sady tovarov > Sady TV;https://www.planeo.sk/sady-tv
3;Akcie > Sady tovarov > Sady domácnosť;https://www.planeo.sk/sady-domacnost
3;Akcie > Sady tovarov > Sady foto/kamery;https://www.planeo.sk/sady-foto-kamery
3;Akcie > Sady tovarov > Sady malá biela;https://www.planeo.sk/sady-mala-biela
3;Akcie > Sady tovarov > Sady ostatné;https://www.planeo.sk/sady-ostatne
3;Akcie > Sady tovarov > Sady tovaru;https://www.planeo.sk/sady-spotrebicov
3;Akcie > Sady tovarov > Sady veľká biela;https://www.planeo.sk/sady-velka-biela
3;Akcie > Sady tovarov > Sady záhrada;https://www.planeo.sk/sady-zahrada
3;Akcie > Sady tovarov > Sety vstavaných spotrebičov;https://www.planeo.sk/sety-vstavanych-spotrebicov
2;Akcie > Späť do školy;https://www.planeo.sk/spat-do-skoly
3;Akcie > Späť do školy > Späť do školy - Audio-Video;https://www.planeo.sk/spaet-do-skoly-audio-video
3;Akcie > Späť do školy > Späť do školy - Auto a moto;https://www.planeo.sk/spaet-do-skoly-auto-a-moto
3;Akcie > Späť do školy > Späť do školy - Cestovanie, šport a outdoor;https://www.planeo.sk/spaet-do-skoly-cestovanie-sport-a-outdoor
3;Akcie > Späť do školy > Späť do školy - Dielňa a záhrada;https://www.planeo.sk/spaet-do-skoly-dielna-a-zahrada
3;Akcie > Späť do školy > Späť do školy - Domáce potreby;https://www.planeo.sk/spaet-do-skoly-domace-potreby
3;Akcie > Späť do školy > Späť do školy - Herné konzoly, zábava a médiá;https://www.planeo.sk/spaet-do-skoly-herne-konzoly-zabava-a-media
3;Akcie > Späť do školy > Späť do školy - Hodinky;https://www.planeo.sk/spaet-do-skoly-hodinky
3;Akcie > Späť do školy > Späť do školy - Hračky;https://www.planeo.sk/spaet-do-skoly-hracky
3;Akcie > Späť do školy > Späť do školy - Kancelárske vybavenie a papiernictvo;https://www.planeo.sk/spaet-do-skoly-kancelarske-vybavenie-a-papiernictvo
3;Akcie > Späť do školy > Späť do školy - LEGO®;https://www.planeo.sk/spaet-do-skoly-lego-r
3;Akcie > Späť do školy > Späť do školy - Malé domáce spotrebiče;https://www.planeo.sk/spaet-do-skoly-male-domace-spotrebice
3;Akcie > Späť do školy > Späť do školy - Multifunkčné príslušenstvo;https://www.planeo.sk/spaet-do-skoly-multifunkcne-prislusenstvo
3;Akcie > Späť do školy > Späť do školy - Nábytok;https://www.planeo.sk/spaet-do-skoly-nabytok
3;Akcie > Späť do školy > Späť do školy - Potraviny;https://www.planeo.sk/spaet-do-skoly-potraviny
3;Akcie > Späť do školy > Späť do školy - Počítače a IT;https://www.planeo.sk/spaet-do-skoly-pocitace-a-it
3;Akcie > Späť do školy > Späť do školy - Slúchadlá;https://www.planeo.sk/spaet-do-skoly-sluchadla
3;Akcie > Späť do školy > Späť do školy - Telefóny a smart hodinky;https://www.planeo.sk/spaet-do-skoly-telefony-a-smart-hodinky
3;Akcie > Späť do školy > Späť do školy - Televízory a projektory;https://www.planeo.sk/spaet-do-skoly-televizory-a-projektory
3;Akcie > Späť do školy > Späť do školy - Veľké domáce spotrebiče;https://www.planeo.sk/spaet-do-skoly-velke-domace-spotrebice
2;Akcie > Vybrali sme pre vás;https://www.planeo.sk/vybrali-sme-pre-vas
3;Akcie > Vybrali sme pre vás > Acer Predator;https://www.planeo.sk/acer-predator
3;Akcie > Vybrali sme pre vás > Apple kampane;https://www.planeo.sk/apple-kampane
3;Akcie > Vybrali sme pre vás > Beats slúchadlá;https://www.planeo.sk/beats-sluchadla
