Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Autodiagnostiky","Battery Tester Ancel BA101 8-30V DC",738256017,"ANCEL",5906168439162,"069079","https://www.premiumstore.sk/battery-tester-ancel-ba101-8-30v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba101",5,6,43.50,1,1.5,0.244,43.50,43.78,48.95,52.93,54.50,,,,,,,,,,,43.50,43.78,48.95,52.93,54.50,
"Auto-moto","Autodiagnostiky","Diagnostický skener ANCEL DS600 ELITE OBD2",841139943,"ANCEL",6978281190540,"087773","https://www.premiumstore.sk/diagnosticky-skener-ancel-ds600-elite-obd2/","https://autodiagnostiky.heureka.sk/ancel-ds600",4,3,547.00,2,1.5,0.442,529.95,547.00,569.96,687.00,,,,,,,,,,,,,529.95,547.00,569.96,687.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BM700",791854137,"ANCEL",608410128231,"077724","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bm700/","https://autodiagnostiky.heureka.sk/ancel-bm700",9,8,95.00,1,1.5,0.289,95.00,101.08,104.23,107.53,115.75,117.00,119.20,125.05,137.95,,,95.00,101.08,104.23,107.53,115.75,117.00,119.20,125.05,137.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BZ700",794282195,"ANCEL",602938441797,"077725","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bz700/","https://autodiagnostiky.heureka.sk/ancel-bz700",7,32,90.90,1,1.5,0.289,90.90,95.58,109.96,119.00,125.05,129.95,149.90,,,,,,,90.90,95.58,109.96,119.00,125.05,129.95,149.90,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle ANCEL MT100 PRO",802012691,"ANCEL",6978281190519,"087780","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-ancel-mt100-pro/","https://autodiagnostiky.heureka.sk/ancel-mt100",7,6,145.00,6,1.5,0.305,99.92,114.41,115.14,119.00,125.05,145.00,157.95,,,,,,,99.92,114.41,115.14,119.00,125.05,145.00,157.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle ANCEL MT310",833191004,"ANCEL",6978281190533,"087778","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-ancel-mt310/","https://autodiagnostiky.heureka.sk/ancel-mt310",4,3,289.90,2,1.5,0.338,282.95,289.90,305.21,377.00,,,,,,,,,,,,,282.95,289.90,305.21,377.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle BMW ANCEL MT300",849288956,"ANCEL",6978281190526,"087779","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-bmw-ancel-mt300/","https://autodiagnostiky.heureka.sk/ancel-mt300",3,1,155.50,1,1.5,0.305,155.50,166.38,199.00,,,,,,,,,,,,,,,155.50,166.38,199.00,
"Auto-moto","Autodiagnostiky","Štartér motora ANCEL BS200",849288954,"ANCEL",6978281190564,"087777","https://www.premiumstore.sk/starter-motora-ancel-bs200/","https://autodiagnostiky.heureka.sk/ancel-bs200",3,1,114.50,1,1.5,0.305,114.50,121.96,149.00,,,,,,,,,,,,,,,114.50,121.96,149.00,
"Auto-moto","Autodiagnostiky","Tester obvodov Ancel PB500",839673942,"ANCEL",6978281190052,"077721","https://www.premiumstore.sk/tester-obvodov-ancel-pb500/","https://autodiagnostiky.heureka.sk/ancel-pb500",4,1,78.00,1,1.5,0.283,78.00,94.27,109.90,123.95,,,,,,,,,,,,,78.00,94.27,109.90,123.95,
"Auto-moto","Autonavijaky","Besen BS20 22 kW APP – nástenná nabíjačka pre elektromobily",852224589,"BESEN",5906168438783,"069530","https://www.premiumstore.sk/besen-bs20-22-kw-app---nastenna-nabijacka-pre-elektromobily/","https://autonavijaky.heureka.sk/besen-bs20-22-kw-app-nastenna-nabijacka-pre-elektromobily_2",1,1,357.90,1,,0.374,357.90,,,,,,,,,,,,,,,,,,,357.90,
"Auto-moto","Autonavijaky","Besen LX30 22 kW APP – nástenná nabíjačka pre elektromobily",852224695,"BESEN",5907085524313,"075465","https://www.premiumstore.sk/besen-lx30-22-kw-app---nastenna-nabijacka-pre-elektromobily/","https://autonavijaky.heureka.sk/besen-lx30-22-kw-app-nastenna-nabijacka-pre-elektromobily_2",1,1,303.00,1,,0.338,303.00,,,,,,,,,,,,,,,,,,,303.00,
"Auto-moto","Autonavijaky","Nabíjačka BESEN EV SQW45-BC-22KW-APP",852222535,"BESEN",5905156104617,"087626","https://www.premiumstore.sk/nabijacka-besen-ev-sqw45-bc-22kw-app/","https://autonavijaky.heureka.sk/nabijacka-besen-ev-sqw45-bc-22kw-app",1,1,340.00,1,,0.347,340.00,,,,,,,,,,,,,,,,,,,340.00,
"Auto-moto","Autonavijaky","Nástenná nabíjačka Besen BS20 11 kW APP pre elektromobily",849865231,"BESEN",5906168438790,"069531","https://www.premiumstore.sk/nastenna-nabijacka-besen-bs20-11-kw-app-pre-elektromobily/","https://autonavijaky.heureka.sk/nastenna-nabijacka-besen-bs20-11-kw-app-pre-elektromobily",2,41,329.50,1,,0.347,329.50,344.39,,,,,,,,,,,,,,,,,329.50,344.39,
"Auto-moto","Autonavijaky","Nástenná nabíjačka Besen SQ20-7KW-APP pre elektromobily",852224594,"BESEN",5907085525341,"077445","https://www.premiumstore.sk/nastenna-nabijacka-besen-sq20-7kw-app-pre-elektromobily/","https://autonavijaky.heureka.sk/nastenna-nabijacka-besen-sq20-7kw-app-pre-elektromobily_2",1,1,283.00,1,,0.338,283.00,,,,,,,,,,,,,,,,,,,283.00,
"Auto-moto","Autonavijaky","Nástenná nabíjačka do auta Besen BS20 s výkonom 22 kW",852224591,"BESEN",5906168438776,"069529","https://www.premiumstore.sk/nastenna-nabijacka-do-auta-besen-bs20-s-vykonom-22-kw/","https://autonavijaky.heureka.sk/nastenna-nabijacka-do-auta-besen-bs20-s-vykonom-22-kw_2",1,1,357.50,1,,0.374,357.50,,,,,,,,,,,,,,,,,,,357.50,
"Auto-moto","Autonavijaky","Nástěnná nabíječka pro elektromobily Besen SQ20-11KW-APP",852222689,"BESEN",5907085525358,"077440","https://www.premiumstore.sk/nastenna-nabijacka-besen-sq20-11kw-app-pre-elektromobily/","https://autonavijaky.heureka.sk/nastenna-nabijecka-pro-elektromobily-besen-sq20-11kw-app_5",1,1,299.50,1,,0.338,299.50,,,,,,,,,,,,,,,,,,,299.50,
"Auto-moto","Autonavijaky","Nástěnná nabíječka pro elektromobily Besen SQ20-22KW-APP",852222691,"BESEN",5907085525365,"077441","https://www.premiumstore.sk/nastenna-nabijacka-besen-sq20-22kw-app-pre-elektromobily/","https://autonavijaky.heureka.sk/nastenna-nabijecka-pro-elektromobily-besen-sq20-22kw-app_6",1,1,323.50,1,,0.347,323.50,,,,,,,,,,,,,,,,,,,323.50,
"Auto-moto","Autonavijaky","Prenosná nabíjačka Besen BN70-BC-11KW-APP",852222494,"BESEN",5905156101234,"082870","https://www.premiumstore.sk/prenosna-nabijacka-besen-bn70-bc-11kw-app/","https://autonavijaky.heureka.sk/prenosna-nabijacka-besen-bn70-bc-11kw-app",1,1,265.90,1,,0.331,265.90,,,,,,,,,,,,,,,,,,,265.90,
"Auto-moto","Autonavijaky","Prenosná nabíjačka Besen BN70-BC-22KW-APP",852222495,"BESEN",5905156101272,"082871","https://www.premiumstore.sk/prenosna-nabijacka-besen-bn70-bc-22kw-app/","https://autonavijaky.heureka.sk/prenosna-nabijacka-besen-bn70-bc-22kw-app",1,1,293.50,1,,0.338,293.50,,,,,,,,,,,,,,,,,,,293.50,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit AIR X1 Carplay/Android Auto",755390254,"Carlinkit",6972185560744,"073935","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-air-x1-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-air-x1",3,4,36.50,1,1.5,0.216,36.50,44.39,45.90,,,,,,,,,,,,,,,36.50,44.39,45.90,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit AIR X2 Carplay/Android Auto",755390253,"Carlinkit",6972185560751,"073936","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-air-x2-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-air-x2",4,41,32.50,2,1.5,0.216,31.26,32.50,37.50,61.71,,,,,,,,,,,,,31.26,32.50,37.50,61.71,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit TBOX-S2P Carplay&Android auto",786677781,"Carlinkit",6972185560904,"078249","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-tbox-s2p-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-tbox-s2p",4,3,120.50,3,1.5,0.305,83.26,119.48,120.50,157.00,,,,,,,,,,,,,83.26,119.48,120.50,157.00,
"Auto-moto","Autorádiá","Bezdrôtový adaptér do auta Ottocast OttoAibox E2 CarPlay/Android",829143977,"Ottocast",5905156101074,"082445","https://www.premiumstore.sk/bezdrotovy-adapter-do-auta-ottocast-ottoaibox-e2-carplay-android/","https://autoradia.heureka.sk/ottocast-ottoaibox-e2",4,62,119.90,1,1.5,0.305,119.90,131.43,133.04,159.00,,,,,,,,,,,,,119.90,131.43,133.04,159.00,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Ottocast CA505-T MINI 2 v 1",764487898,"Ottocast",5907085526515,"077960","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-ca505-t-mini-2-v-1/","https://autoradia.heureka.sk/ottocast-ca505-t",5,58,26.00,1,1.5,0.190,26.00,27.93,31.04,32.90,34.39,,,,,,,,,,,26.00,27.93,31.04,32.90,34.39,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Ottocast PCS50 a AI asistent OTTOAIBOX NANO",819666730,"Ottocast",5907085526508,"077959","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-pcs50-a-ai-asistent-ottoaibox-nano/","https://autoradia.heureka.sk/ottocast-pcs50-nanoai",4,116,191.50,2,2.0,0.320,188.02,191.50,207.93,267.00,,,,,,,,,,,,,188.02,191.50,207.93,267.00,
"Auto-moto","Autorádiá","Carlinkit CP2A-PRO",841154302,"Carlinkit",6972185561079,"088004","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-cp2a-pro-pre-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-cp2a-pro",3,4,43.00,1,1.5,0.244,43.00,46.46,54.50,,,,,,,,,,,,,,,43.00,46.46,54.50,
"Auto-moto","Autorádiá","CarlinKit CPC200 Tbox Ambient",745181824,"Carlinkit",6972185560454,"061188","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-tbox-plus-4-64-gb/","https://autoradia.heureka.sk/carlinkit-cpc200-tbox",8,58,129.00,1,1.5,0.305,129.00,135.70,137.22,157.00,171.55,183.71,183.90,196.79,,,,,129.00,135.70,137.22,157.00,171.55,183.71,183.90,196.79,
"Auto-moto","Autorádiá","Carlinkit CPC200-2Air",696195215,"Carlinkit",6972185560430,"053547","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-2air/","https://autoradia.heureka.sk/carlinkit-cpc200-2air",15,102,33.50,4,1.5,0.216,32.99,33.25,33.49,33.50,34.20,35.49,36.10,37.97,38.49,39.00,35.49,36.10,37.97,38.49,39.00,39.28,42.50,42.97,44.97,82.30,
"Auto-moto","Autorádiá","CarLinkit CPC200-CP2A",706405845,"Carlinkit",6972185560126,"053904","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-cp2a/","https://autoradia.heureka.sk/carlinkit-cpc200-cp2a",5,62,28.50,2,1.5,0.190,23.41,28.50,31.17,35.90,43.99,,,,,,,,,,,23.41,28.50,31.17,35.90,43.99,
"Auto-moto","Autorádiá","Carlinkit HD2CP-PRO bezdrôtový adaptér Carplay&Android",829143987,"Carlinkit",6972185560980,"080695","https://www.premiumstore.sk/carlinkit-hd2cp-pro-bezdrotovy-adapter-carplay-android/","https://autoradia.heureka.sk/carlinkit-hd2cp-pro",5,62,37.90,2,1.0,0.216,36.91,37.90,40.60,47.50,66.99,,,,,,,,,,,36.91,37.90,40.60,47.50,66.99,
"Auto-moto","Autorádiá","Carlinkit U2W MINI bezdrôtový adaptér Apple Carplay (biely)",730441038,"Carlinkit",6972185560447,"056973","https://www.premiumstore.sk/carlinkit-u2w-mini-bezdrotovy-adapter-apple-carplay--biely/","https://autoradia.heureka.sk/carlinkit-u2w-mini",4,1,20.90,1,1.5,0.172,20.90,20.94,25.50,30.23,,,,,,,,,,,,,20.90,20.94,25.50,30.23,
"Auto-moto","Autorádiá","Kruger & Matz KM2025",791523344,"Kruger & Matz",5901890124201,"AT_LEC-KM2025","https://www.premiumstore.sk/kruger-matz-hl-cp03-bezdratovy-adapter-carplay-android-auto/","https://autoradia.heureka.sk/kruger-matz-km2025",6,41,22.00,3,1.5,0.172,15.03,21.89,22.00,22.50,23.00,25.50,,,,,,,,,15.03,21.89,22.00,22.50,23.00,25.50,
"Auto-moto","Autorádiá","Ottocast CA525-T3",829370690,"Ottocast",6977341740237,"086948","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-ca525-t3/","https://autoradia.heureka.sk/ottocast-ca525-t3",4,1,25.50,1,1.5,0.190,25.50,27.89,31.04,32.90,,,,,,,,,,,,,25.50,27.89,31.04,32.90,
