Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Autodiagnostiky","Ancel BA201",738256018,"ANCEL",5906168432972,"069364","https://www.premiumstore.sk/battery-tester-ancel-ba201-8-16v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba201",6,41,53.50,1,,0.261,53.50,56.79,61.95,65.41,67.69,69.90,,,,,,,,,53.50,56.79,61.95,65.41,67.69,69.90,
"Auto-moto","Autodiagnostiky","ANCEL DS600 BT – profesionálny diagnostický skener OBD2",841139943,"ANCEL",6978281190434,"087772","https://www.premiumstore.sk/ancel-ds600-bt---profesionalny-diagnosticky-skener-obd2/","https://autodiagnostiky.heureka.sk/ancel-ds600",3,3,586.50,1,,0.446,586.50,586.90,622.95,,,,,,,,,,,,,,,586.50,586.90,622.95,
"Auto-moto","Autodiagnostiky","ANCEL L5000 PRO – diagnostický detektor únikov pre automobilové systémy",849288958,"ANCEL",6978281190588,"087781","https://www.premiumstore.sk/ancel-l5000-pro---diagnosticky-detektor-unikov-pre-automobilove-systemy/","https://autodiagnostiky.heureka.sk/ancel-l5000",3,1,290.00,1,,0.338,290.00,308.67,369.00,,,,,,,,,,,,,,,290.00,308.67,369.00,
"Auto-moto","Autodiagnostiky","Battery Tester Ancel BA101 8-30V DC",738256017,"ANCEL",5906168439162,"069079","https://www.premiumstore.sk/battery-tester-ancel-ba101-8-30v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba101",6,6,45.50,1,,0.244,45.50,46.43,47.77,49.95,54.50,57.50,,,,,,,,,45.50,46.43,47.77,49.95,54.50,57.50,
"Auto-moto","Autodiagnostiky","Diagnostický skener ANCEL DS600 ELITE OBD2",841139943,"ANCEL",6978281190540,"087773","https://www.premiumstore.sk/diagnosticky-skener-ancel-ds600-elite-obd2/","https://autodiagnostiky.heureka.sk/ancel-ds600",3,3,582.00,1,,0.446,582.00,586.90,622.95,,,,,,,,,,,,,,,582.00,586.90,622.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BM700",791854137,"ANCEL",608410128231,"077724","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bm700/","https://autodiagnostiky.heureka.sk/ancel-bm700",8,8,95.00,1,,0.289,95.00,101.08,104.23,107.53,116.40,117.00,119.99,153.95,,,,,95.00,101.08,104.23,107.53,116.40,117.00,119.99,153.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BZ700",794282195,"ANCEL",602938441797,"077725","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bz700/","https://autodiagnostiky.heureka.sk/ancel-bz700",7,41,90.90,1,,0.289,90.90,92.62,95.58,110.58,112.99,119.00,153.95,,,,,,,90.90,92.62,95.58,110.58,112.99,119.00,153.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle ANCEL MT100 PRO",802012691,"ANCEL",6978281190519,"087780","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-ancel-mt100-pro/","https://autodiagnostiky.heureka.sk/ancel-mt100",5,6,145.00,5,,0.305,99.92,115.05,115.14,119.00,145.00,,,,,,,,,,,99.92,115.05,115.14,119.00,145.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle ANCEL MT310",833191004,"ANCEL",6978281190533,"087778","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-ancel-mt310/","https://autodiagnostiky.heureka.sk/ancel-mt310",5,3,296.90,1,,0.338,296.90,301.80,315.13,331.95,377.00,,,,,,,,,,,296.90,301.80,315.13,331.95,377.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle BMW ANCEL MT300",849288956,"ANCEL",6978281190526,"087779","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-bmw-ancel-mt300/","https://autodiagnostiky.heureka.sk/ancel-mt300",3,1,155.50,1,,0.305,155.50,166.38,199.00,,,,,,,,,,,,,,,155.50,166.38,199.00,
"Auto-moto","Autodiagnostiky","Štartér motora ANCEL BS200",849288954,"ANCEL",6978281190564,"087777","https://www.premiumstore.sk/starter-motora-ancel-bs200/","https://autodiagnostiky.heureka.sk/ancel-bs200",3,1,114.50,1,,0.305,114.50,121.96,149.00,,,,,,,,,,,,,,,114.50,121.96,149.00,
"Auto-moto","Autodiagnostiky","Tester obvodov Ancel PB500",839673942,"ANCEL",6978281190052,"077721","https://www.premiumstore.sk/tester-obvodov-ancel-pb500/","https://autodiagnostiky.heureka.sk/ancel-pb500",3,1,78.00,1,,0.283,78.00,94.80,109.90,,,,,,,,,,,,,,,78.00,94.80,109.90,
"Auto-moto","Autonavijaky","Besen BS20 22 kW APP – nástenná nabíjačka pre elektromobily",849865232,"BESEN",5906168438783,"069530","https://www.premiumstore.sk/besen-bs20-22-kw-app---nastenna-nabijacka-pre-elektromobily/","https://autonavijaky.heureka.sk/besen-bs20-22-kw-app-nastenna-nabijacka-pre-elektromobily",1,1,357.90,1,,0.374,357.90,,,,,,,,,,,,,,,,,,,357.90,
"Auto-moto","Autonavijaky","Besen LX30 22 kW APP – nástenná nabíjačka pre elektromobily",849865233,"BESEN",5907085524313,"075465","https://www.premiumstore.sk/besen-lx30-22-kw-app---nastenna-nabijacka-pre-elektromobily/","https://autonavijaky.heureka.sk/besen-lx30-22-kw-app-nastenna-nabijacka-pre-elektromobily",1,1,303.00,1,,0.338,303.00,,,,,,,,,,,,,,,,,,,303.00,
"Auto-moto","Autonavijaky","Nástenná nabíjačka Besen BS20 11 kW APP pre elektromobily",849865231,"BESEN",5906168438790,"069531","https://www.premiumstore.sk/nastenna-nabijacka-besen-bs20-11-kw-app-pre-elektromobily/","https://autonavijaky.heureka.sk/nastenna-nabijacka-besen-bs20-11-kw-app-pre-elektromobily",1,1,329.50,1,,0.347,329.50,,,,,,,,,,,,,,,,,,,329.50,
