Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Aditíva do chladičov","Přípravek na čištění chladiče 400 ml K2",265177193,"K2",,"66040","https://premiumstore.sk/pripravek-na-cisteni-chladice-400-ml-k2#66040","https://aditiva-do-chladicov.heureka.sk/k2-radiator-flush-400-ml",20,32,3.01,15,,0.032,1.73,1.87,1.96,1.97,2.00,2.05,2.07,2.20,2.50,2.55,2.55,2.66,2.70,3.00,3.01,3.10,3.72,4.62,4.90,5.43,
"Auto-moto","Aditíva do olejov","K2 Aditivum do oleje 443ml",265177173,"K2",,"65979","https://premiumstore.sk/k2-aditivum-do-oleje-443ml#65979","https://aditiva-do-olejov.heureka.sk/k2-doktor-car-spec-443-ml_3",22,73,6.56,15,,0.032,3.31,3.90,3.90,3.95,4.35,4.59,4.90,4.94,4.95,5.03,6.05,6.15,6.56,6.72,6.79,6.80,6.90,7.40,8.14,10.90,
"Auto-moto","Aditíva do olejov","K2 MOTOR FLUSH 250 ml - čistič motorů",265177190,"K2",,"68202","https://premiumstore.sk/k2-motor-flush-250-ml-cistic-motoru#68202","https://aditiva-do-olejov.heureka.sk/k2-motor-flush-250-ml",21,76,4.72,18,,0.032,1.62,1.94,1.95,2.05,2.15,2.24,2.25,2.25,2.28,2.40,2.59,3.18,3.40,3.89,4.10,4.10,4.72,5.86,6.90,7.00,
"Auto-moto","Aditíva do palív","Aditivum do benzinu VIF 125 ml",265176651,"Vif",,"67952","https://premiumstore.sk/aditivum-do-benzinu-vif-125-ml#67952","https://aditiva-do-paliv.heureka.sk/vif-super-benzin-aditiv-125-ml",31,129,4.30,26,,0.032,2.72,2.73,2.80,2.90,2.90,2.90,2.94,2.95,3.00,3.00,3.99,4.00,4.02,4.10,4.30,4.30,4.50,4.90,4.99,6.90,
"Auto-moto","Aditíva do palív","Aditivum do benzinu VIF 500 ml",265176650,"Vif",,"65923","https://premiumstore.sk/aditivum-do-benzinu-vif-500-ml#65923","https://aditiva-do-paliv.heureka.sk/vif-super-benzin-aditiv-500-ml",41,232,13.87,36,,0.148,8.87,8.88,8.88,8.90,9.00,9.02,9.10,9.10,9.10,9.50,12.12,12.20,12.80,12.90,13.87,13.87,14.20,14.39,15.59,17.90,
"Auto-moto","Aditíva do palív","Aditivum do nafty VIF (letní) 500 ml",265176599,"Vif",,"65922","https://premiumstore.sk/aditivum-do-nafty-vif-letni-500-ml#65922","https://aditiva-do-paliv.heureka.sk/vif-super-diesel-aditiv-letny-500-ml",35,219,14.08,32,,0.148,8.65,8.67,8.87,8.90,8.95,9.00,9.00,9.10,9.10,9.20,11.20,11.60,11.89,12.00,12.00,12.12,14.08,14.20,14.29,17.90,
"Auto-moto","Aditíva do palív","Aditivum do nafty VIF (zimní) 125 ml",264897672,"Vif",,"67951","https://premiumstore.sk/aditivum-do-nafty-vif-zimni-125-ml#67951","https://aditiva-do-paliv.heureka.sk/vif-super-diesel-aditiv-zimny-125-ml",29,61,4.35,24,,0.032,2.44,2.69,2.70,2.73,2.90,2.90,2.90,2.95,3.00,3.00,3.69,3.99,4.10,4.30,4.35,4.60,4.90,4.99,6.35,6.90,
"Auto-moto","Aditíva do palív","Aditivum do nafty VIF (zimní) 500 ml",8336433,"Vif",,"75060","https://premiumstore.sk/aditivum-do-nafty-vif-zimni-500-ml#75060","https://aditiva-do-paliv.heureka.sk/vif-super-diesel-aditiv-zimny-500-ml",44,201,14.08,40,,0.148,4.53,8.44,8.44,8.45,8.87,8.89,8.90,8.95,8.99,9.00,11.99,12.00,12.12,12.90,12.90,14.08,14.50,15.59,16.09,17.90,
"Auto-moto","Aditíva do palív","K2 Aditivum do benzinu E10 50ml",696795364,"K2",,"71474","https://premiumstore.sk/k2-aditivum-do-benzinu-e10-50ml#71474","https://aditiva-do-paliv.heureka.sk/k2-e10-50-ml",10,41,3.89,7,,0.032,1.95,2.12,2.20,2.40,3.09,3.19,3.89,4.87,4.90,5.76,1.95,2.12,2.20,2.40,3.09,3.19,3.89,4.87,4.90,5.76,
"Auto-moto","Aditíva do palív","K2 BENZIN 50 ml - aditivum do paliva",265177140,"K2",,"66023","https://premiumstore.sk/k2-benzin-50-ml-aditivum-do-paliva#66023","https://aditiva-do-paliv.heureka.sk/k2-benzin-fuel-injector-cleaner-50-ml",12,66,3.13,9,,0.032,2.00,2.21,2.30,2.42,2.44,2.54,2.59,2.64,3.13,3.85,2.30,2.42,2.44,2.54,2.59,2.64,3.13,3.85,6.90,7.00,
