Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Alkohol testery","Solight 1T08-T5",816169853,"Solight",8592718045326,"SOL_1T08-T5","https://www.premiumstore.sk/solight-nahradny-lievik-pre-1t08--5ks/","https://alkohol-testery.heureka.sk/solight-1t08-t5",8,4,1.80,2,4.0,0.016,1.69,1.80,1.97,2.00,2.89,2.89,2.89,3.40,,,,,1.69,1.80,1.97,2.00,2.89,2.89,2.89,3.40,
"Auto-moto","Alkohol testery","Solight 1T09",808017114,"Solight",8592718044176,"SOL_1T09","https://www.premiumstore.sk/solight-alkohol-tester-mini--fuel-cell--0-0-5-0--bac-citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t09",9,5,57.00,1,4.0,0.268,57.00,57.34,59.90,59.90,60.18,60.99,61.29,74.90,79.96,,,57.00,57.34,59.90,59.90,60.18,60.99,61.29,74.90,79.96,
"Auto-moto","Alkohol testery","Solight alkohol tester profesionálny, Fuel Cell, 0,00 - 4,00‰ BAC, citlivosť 0,08‰",219645816,"Solight",8592718018948,"SOL_1T06","https://www.premiumstore.sk/solight-alkohol-tester-profesionalny--fuel-cell--0-00-4-00--bac--citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t06",21,119,49.00,1,4.0,0.261,49.00,49.00,52.00,56.63,56.63,57.99,60.38,60.42,61.51,61.51,69.99,73.12,74.73,74.95,80.84,82.26,82.41,83.96,91.90,91.90,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 1,5‰ BAC, citlivosť 0,2‰",219645817,"Solight",8592718018955,"SOL_1T07","https://www.premiumstore.sk/solight-alkohol-tester--0-0-1-5--bac--citlivost-0-2-/","https://alkohol-testery.heureka.sk/solight-1t07",23,92,18.00,1,4.0,0.161,18.00,18.00,19.31,19.32,20.28,20.50,20.99,20.99,21.00,22.21,24.88,24.99,25.46,25.60,26.95,28.04,28.76,29.38,31.90,31.90,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 3,0‰ BAC, přesnosť 0,1‰",11979768,"Solight",8592718029272,"SOL_1T04A","https://www.premiumstore.sk/solight-alkohol-tester--0-0-3-0--bac--presnost-0-1-/","https://alkohol-testery.heureka.sk/solight-1t04",17,33,35.50,1,4.0,0.216,35.50,35.90,35.90,36.99,37.67,38.90,39.00,39.11,44.00,44.99,39.11,44.00,44.99,45.43,47.97,52.50,53.16,53.28,64.90,64.90,
"Auto-moto","Alkohol testery","Solight profesionálny bezkontaktný alkohol tester, Fuel Cell, 0,0 - 5,0‰ BAC,citlivosť 0,08‰",808596616,"Solight",8592718044169,"SOL_1T08","https://www.premiumstore.sk/solight-profesionalny-bezkontaktny-alkohol-tester--fuel-cell--0-0-5-0--bac-citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t08",12,9,57.90,2,4.0,0.268,57.81,57.90,58.00,58.12,59.73,59.90,62.15,62.69,69.20,74.99,58.00,58.12,59.73,59.90,62.15,62.69,69.20,74.99,83.90,85.96,
"Auto-moto","Auto antény","Elektrická panvica do auta 20cm x 4cm 150W 12V",786731863,"Hadex",5903293025321,"AT_HAD-V153B","https://www.premiumstore.sk/elektricka-panev-do-auta-20cm-x-4cm-150w-12v/","https://auto-anteny.heureka.sk/elektricka-panvica-do-auta-20cm-x-4cm-150w-12v_6",2,3,41.50,1,,0.169,41.50,41.90,,,,,,,,,,,,,,,,,41.50,41.90,
"Auto-moto","Auto antény","JTS UA-960 Aktívny anténny rozbočovač",847485734,"JTS",4007754248890,"MON_UA-960","https://www.premiumstore.sk/jts-ua-960-aktivny-antenny-rozbocovac/","https://auto-anteny.heureka.sk/jts-ua-960-aktivny-antenny-rozbocovac",1,1,798.00,1,,0.477,798.00,,,,,,,,,,,,,,,,,,,798.00,
"Auto-moto","Autoalarmy","Diaľkové ovládanie SwitchBot Remote",702656922,"SwitchBot",850007706074,"041450","https://www.premiumstore.sk/dialkove-ovladanie-switchbot-remote/","https://autoalarmy.heureka.sk/switchbot-dalkove-ovladani-switchbot-remote",3,2,11.90,1,,0.074,11.90,12.88,14.50,,,,,,,,,,,,,,,11.90,12.88,14.50,
"Auto-moto","Autodiagnostiky","Ancel AD410 PRO",725082437,"ANCEL",5906168432965,"069080","https://www.premiumstore.sk/2in1-diagnostic-scanner-obd2-and-battery-tester-ancel-ad410-pro/","https://autodiagnostiky.heureka.sk/ancel-ad410-pro",5,53,48.90,1,1.0,0.261,48.90,52.00,59.89,61.95,69.90,,,,,,,,,,,48.90,52.00,59.89,61.95,69.90,
"Auto-moto","Autodiagnostiky","Ancel AD530",724331355,"ANCEL",5906168439100,"069087","https://www.premiumstore.sk/diagnostic-scanner-obd2-ancel-ad530/","https://autodiagnostiky.heureka.sk/ancel-ad530",7,4,63.90,1,1.0,0.268,63.90,68.38,73.28,78.72,79.64,84.50,102.95,,,,,,,63.90,68.38,73.28,78.72,79.64,84.50,102.95,
"Auto-moto","Autodiagnostiky","Ancel AS100/AC100",724331353,"ANCEL",5906168439131,"069084","https://www.premiumstore.sk/diagnostic-scanner-obd2-ancel-as100-ac100/","https://autodiagnostiky.heureka.sk/ancel-as100-ac100",7,41,18.00,1,1.0,0.161,18.00,22.02,23.50,26.00,34.90,39.00,40.95,,,,,,,18.00,22.02,23.50,26.00,34.90,39.00,40.95,
"Auto-moto","Autodiagnostiky","Ancel BA201",738256018,"ANCEL",5906168432972,"069364","https://www.premiumstore.sk/battery-tester-ancel-ba201-8-16v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba201",6,2,53.50,1,1.0,0.261,53.50,56.79,61.95,65.44,67.69,69.90,,,,,,,,,53.50,56.79,61.95,65.44,67.69,69.90,
"Auto-moto","Autodiagnostiky","Battery Tester Ancel BA101 8-30V DC",738256017,"ANCEL",5906168439162,"069079","https://www.premiumstore.sk/battery-tester-ancel-ba101-8-30v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba101",5,6,45.50,1,1.0,0.244,45.50,47.77,49.95,54.50,57.52,,,,,,,,,,,45.50,47.77,49.95,54.50,57.52,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BM700",791854137,"ANCEL",608410128231,"077724","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bm700/","https://autodiagnostiky.heureka.sk/ancel-bm700",8,9,95.00,2,1.0,0.289,84.85,95.00,101.08,107.53,116.45,117.00,125.21,138.95,,,,,84.85,95.00,101.08,107.53,116.45,117.00,125.21,138.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BZ700",794282195,"ANCEL",602938441797,"077725","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bz700/","https://autodiagnostiky.heureka.sk/ancel-bz700",8,7,90.90,2,1.0,0.289,89.59,90.90,95.58,110.63,117.26,119.00,120.00,133.95,,,,,89.59,90.90,95.58,110.63,117.26,119.00,120.00,133.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBDeleven 2 Pro Pack",642186824,"OBDeleven",758277987813,"082266","https://www.premiumstore.sk/diagnosticky-skener-obdeleven-2-pro-pack/","https://autodiagnostiky.heureka.sk/obdeleven-nextgen-pro-pack",6,154,96.90,1,1.0,0.292,96.90,98.47,102.75,103.87,118.41,129.00,,,,,,,,,96.90,98.47,102.75,103.87,118.41,129.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBDeleven 2 Ultimate",642186833,"OBDeleven",758277987820,"082267","https://www.premiumstore.sk/diagnosticky-skener-obdeleven-2-ultimate/","https://autodiagnostiky.heureka.sk/obdeleven-ultimate-pack",4,75,148.50,1,1.0,0.305,148.50,150.56,179.72,187.00,,,,,,,,,,,,,148.50,150.56,179.72,187.00,
"Auto-moto","Autodiagnostiky","Profesionálny automobilový diagnostický skener OBD2 Ancel X6",817006077,"ANCEL",6978281190069,"077726","https://www.premiumstore.sk/profesionalny-automobilovy-diagnosticky-skener-obd2-ancel-x6/","https://autodiagnostiky.heureka.sk/ancel-x6-in-x6",4,80,260.50,1,1.0,0.331,260.50,276.50,318.52,327.00,,,,,,,,,,,,,260.50,276.50,318.52,327.00,
"Auto-moto","Autodiagnostiky","Tester obvodov Ancel PB500",839673942,"ANCEL",6978281190052,"077721","https://www.premiumstore.sk/tester-obvodov-ancel-pb500/","https://autodiagnostiky.heureka.sk/ancel-pb500",3,1,78.00,1,1.0,0.283,78.00,94.84,109.90,,,,,,,,,,,,,,,78.00,94.84,109.90,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit AIR X1 Carplay/Android Auto",755390254,"Carlinkit",6972185560744,"073935","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-air-x1-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-air-x1",4,4,36.50,1,2.0,0.216,36.50,42.89,45.90,48.85,,,,,,,,,,,,,36.50,42.89,45.90,48.85,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit AIR X2 Carplay/Android Auto",755390253,"Carlinkit",6972185560751,"073936","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-air-x2-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-air-x2",3,5,32.50,1,2.0,0.216,32.50,40.50,62.15,,,,,,,,,,,,,,,32.50,40.50,62.15,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit CCPA Apple Carplay/Android Auto (čierny)",731107213,"Carlinkit",6972185560119,"055287","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-ccpa-apple-carplay-android-auto--cierny/","https://autoradia.heureka.sk/carlinkit-cpc200-ccpa",4,80,37.00,1,2.0,0.216,37.00,37.49,41.19,47.90,,,,,,,,,,,,,37.00,37.49,41.19,47.90,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit TBOX-S2P Carplay&Android auto",786677781,"Carlinkit",6972185560904,"078249","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-tbox-s2p-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-tbox-s2p",3,3,119.00,1,2.0,0.305,119.00,119.48,157.00,,,,,,,,,,,,,,,119.00,119.48,157.00,
"Auto-moto","Autorádiá","Bezdrôtový adaptér do auta Ottocast OttoAibox E2 CarPlay/Android",829143977,"Ottocast",5905156101074,"082445","https://www.premiumstore.sk/bezdrotovy-adapter-do-auta-ottocast-ottoaibox-e2-carplay-android/","https://autoradia.heureka.sk/ottocast-ottoaibox-e2",4,53,138.50,1,2.0,0.305,138.50,138.77,174.46,189.00,,,,,,,,,,,,,138.50,138.77,174.46,189.00,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Ottocast CA505-T MINI 2 v 1",764487898,"Ottocast",5907085526515,"077960","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-ca505-t-mini-2-v-1/","https://autoradia.heureka.sk/ottocast-ca505-t",4,6,26.00,1,2.0,0.190,26.00,31.04,32.90,33.19,,,,,,,,,,,,,26.00,31.04,32.90,33.19,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Ottocast PCS50 a AI asistent OTTOAIBOX NANO",819666730,"Ottocast",5907085526508,"077959","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-pcs50-a-ai-asistent-ottoaibox-nano/","https://autoradia.heureka.sk/ottocast-pcs50-nanoai",3,41,207.90,1,2.0,0.320,207.90,207.93,267.00,,,,,,,,,,,,,,,207.90,207.93,267.00,
"Auto-moto","Autorádiá","Carlinkit 2Air-T",825385634,"Carlinkit",6972185561109,"088003","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-2air-t-pre-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-2air-t",3,3,25.90,1,2.0,0.190,25.90,30.90,31.04,,,,,,,,,,,,,,,25.90,30.90,31.04,
"Auto-moto","Autorádiá","Carlinkit CP2A-PRO",841154302,"Carlinkit",6972185561079,"088004","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-cp2a-pro-pre-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-cp2a-pro",3,2,43.00,1,2.0,0.244,43.00,53.99,54.50,,,,,,,,,,,,,,,43.00,53.99,54.50,
