znacka;model;dodavatelia;najnizsia_cena;najvyssia_cena;rozdiel;najlacnejsi;eany;nazov_atos;nazov_basys;nazov_innpro;nazov_kb;nazov_penta
UNI-T;UT372;atos+innpro;64.90;67.90;1.05x;atos;atos:5901436741367 | innpro:6935750537206;UNI-T Otáčkoměr UT372 USB;;Bezkontaktný otáčkomer Uni-T UT372;;
UNI-T;UT133B;atos+innpro;18.50;19.50;1.05x;atos;atos:5901890044875 | innpro:6935750513323;Multimetr UNI-T UT133B;;Uni-T UT133B ručný digitálny multimeter;;
UNI-T;UT333S;atos+innpro;23.50;24.50;1.04x;innpro;atos:5901890044943 | innpro:6935750533321;Teploměr a vlhkoměr UNI-T  UT333S;;Merač teploty a vlhkosti UNI-T UT333S;;
UNI-T;UT107;atos+innpro;28.00;29.00;1.04x;innpro;atos:5901436741077 | innpro:6935750510704;Multimetr UNI-T UT107;;Ručný multimeter do auta UNI-T UT107;;
UNI-T;UT512;atos+innpro;140.50;145.50;1.04x;atos;atos:5901436741374 | innpro:6935750551202;Tester izolačního odporu UNI-T UT512;;Merač izolačného odporu pri vysokom napätí Uni-T UT512;;
UNI-T;UT681C;atos+innpro;13.00;13.50;1.04x;innpro;atos:5901890044776 | innpro:6935750568118;Tester kabelu UNI-T UT681C  (RJ45, RJ11, BNC);;Tester sieťových káblov UNI-T UT681C;;
UNI-T;UT210B;atos+innpro;23.50;24.50;1.04x;innpro;atos:5901890013352 | innpro:6935750521021;Klešťový multimetr UNI-T UT210B;;Uni-T UT210B Mini digitálny klešťový multimeter;;
UNI-T;LM570R;atos+innpro;35.50;36.90;1.04x;innpro;atos:5901890075053 | innpro:6935750557013;Laser křížový UNI-T LM570R-I;;Laserová vodováha Uni-T LM570R-I;;
UNI-T;UT139B;atos+innpro;39.90;41.00;1.03x;atos;atos:5901436796732 | innpro:6935750521397;Multimetr UNI-T UT139B;;Digitálny multimeter Uni-T UT139B s meraním skutočnej efektívnej hodnoty;;
UNI-T;UT18E;atos+innpro;41.90;43.00;1.03x;atos;atos:5901890077965 | innpro:6935750518076;Zkoušečka napětí UNI-T UT18E;;Skúšačka napätia a spojitosti UNI-T UT18E;;
UNI-T;UT133A;atos+innpro;21.90;22.50;1.03x;innpro;atos:5901890065085 | innpro:6935750513316;Multimetr UNI-T UT133A;;Uni-T UT133A ručný digitálny multimeter;;
UNI-T;UT511;atos+innpro;108.50;111.50;1.03x;atos;atos:5901436741152 | innpro:6935750551103;Tester izolačního odporu UNI-T UT511;;Merač izolačného odporu pri vysokom napätí Uni-T UT511;;
TP-Link;P100;kb+penta;21.90;22.50;1.03x;penta;kb:6935364072766 | penta:6935364072759;;;;TP-LINK Tapo P100(2-pack)WiFi zásuvka;Múdra zásuvka TP-Link Tapo P100 (2-pack) regulácia 230V cez IP, Cloud, WiFi
UNI-T;UT15B;atos+innpro;28.00;28.50;1.02x;atos;atos:5901890028486 | innpro:6935750515020;Zkoušečka UNI-T UT15B;;Tester napätia a spojitosti Uni-T UT15B;;
UNI-T;UT202R;atos+innpro;25.00;25.50;1.02x;atos;atos:5901890065078 | innpro:6935750520291;Klešťový multimetr UNI-T UT202R;;Digitálny klešťový merač Uni-T UT202R;;
UNI-T;UT353;atos+innpro;17.50;17.90;1.02x;innpro;atos:5901890028417 | innpro:6935750535301;Hlukoměr UNI-T  UT353;;Merač hladiny zvuku UNI-T UT353;;
UNI-T;UT07B;atos+innpro;10.50;10.50;;atos;atos:5901890027700 | innpro:6935750507278;Tester elektrických zásuvek RCD UNI-T UT07B-EU;;Tester zásuviek UNI-T UT07B-EU;;
