ean;stara_url;stary_nazov;novy_dodavatel;novy_nazov;nova_url;stav
8592718020675;https://premiumstore.sk/solight-led-ziarovka-bodova-7w-gu10-6000k-595lm-biela#21475;Solight LED žiarovka, bodová , 7W, GU10, 6000K, 595lm, biela;solight;Solight LED žiarovka, bodová , 7W, GU10, 6000K, 595lm, biela;https://www.premiumstore.sk/solight-led-ziarovka--bodova-7w--gu10--6000k--595lm--biela/;OK
8592718025991;https://premiumstore.sk/solight-led-kuchynske-svietidlo-2x-zasuvka-vypinac-10w-4100k-51cm#21470;Solight LED kuchynské svietidlo, 2x zásuvka, vypínač, 10W, 4100K, 51cm;solight;Solight LED kuchynské svietidlo, 2x zásuvka, vypínač, 10W, 4100K, 51cm;https://www.premiumstore.sk/solight-led-kuchynske-svietidlo--2x-zasuvka--vypinac--10w--4100k--51cm/;OK
8592718026035;https://premiumstore.sk/solight-led-venkovne-osvetlenie-prisadene-stvorcove-ip54-15w-1150lm-4000k-22cm#21468;Solight LED venkovné osvetlenie, prisadené, štvorcove, IP54, 15W, 1150lm, 4000K, 22cm;solight;Solight LED venkovné osvetlenie, prisadené, štvorcove, IP54, 15W, 1150lm, 4000K, 22cm;https://www.premiumstore.sk/solight-led-venkovne-osvetlenie--prisadene--stvorcove--ip54--15w--1150lm--4000k--22cm/;OK
8592718025854;https://premiumstore.sk/solight-predlzovaci-privod-4-zasuvky-cierny-2m-vysuvny-blok-zasuviek-kruhovy-tvar#21467;Solight predlžovací prívod, 4 zásuvky, čierny, 2m, výsuvný blok zásuviek, kruhový tvar;solight;Solight predlžovací prívod, 4 zásuvky, čierny, 2m, výsuvný blok zásuviek, kruhový tvar;https://www.premiumstore.sk/solight-predlzovaci-privod--4-zasuvky--cierny--2m--vysuvny-blok-zasuviek--kruhovy-tvar/;OK
8592718026103;https://premiumstore.sk/solight-led-bezdotykove-podlinkove-a-nabytkove-svietidlo-stmivatelne-ir-senzor-9w-4100k-60cm#21466;Solight LED bezdotykové podlinkové a nábytkové svietidlo stmívateľné, IR senzor, 9W, 4100K, 60cm;solight;Solight LED bezdotykové podlinkové a nábytkové svietidlo stmívateľné, IR senzor, 9W, 4100K, 60cm;https://www.premiumstore.sk/solight-led-bezdotykove-podlinkove-a-nabytkove-svietidlo-stmivatelne--ir-senzor--9w--4100k--60cm/;OK
8592718017545;https://premiumstore.sk/solight-led-ziarovka-g9-2-5w-3000k-215lm#21465;Solight LED žiarovka G9, 2,5W, 3000K, 215lm;solight;Solight LED žiarovka G9, 2,5W, 3000K, 215lm;https://www.premiumstore.sk/solight-led-ziarovka-g9--2-5w--3000k--215lm/;OK
8592718026097;https://premiumstore.sk/solight-led-dotykove-podlinkove-a-nabytkove-svietidlo-stmivatelne-2x-5w-4100k-2x-50cm#21463;Solight LED dotykové podlinkové a nábytkové svietidlo stmívateľné, 2x 5W, 4100K, 2x 50cm;solight;Solight LED dotykové podlinkové a nábytkové svietidlo stmívateľné, 2x 5W, 4100K, 2x 50cm;https://www.premiumstore.sk/solight-led-dotykove-podlinkove-a-nabytkove-svietidlo-stmivatelne--2x-5w--4100k--2x-50cm/;OK
8592718027605;https://premiumstore.sk/solight-led-stropne-svetlo-star-okruhle-24w-2400lm-dialkove-ovladanie-37cm#21460;Solight LED stropné svetlo Star, okrúhle, 24W, 2400lm, diaľkové ovládanie, 37cm;solight;Solight LED stropné svetlo Star, okrúhle, 24W, 2400lm, diaľkové ovládanie, 37cm;https://www.premiumstore.sk/solight-led-stropne-svetlo-star--okruhle--24w--2400lm--dialkove-ovladanie--37cm/;OK
8592718026844;https://premiumstore.sk/solight-stolna-lampa-falun-e27-biela#21459;Solight stolná lampa Falun, E27, biela;solight;Solight stolná lampa Falun, E27, biela;https://www.premiumstore.sk/solight-stolna-lampa-falun--e27--biela/;OK
8592718027056;https://premiumstore.sk/solight-predlzovaci-privod-ip44-3-zasuvky-gumovy-kabel-vonkajsi-3m#21455;Solight predlžovací prívod IP44, 3 zásuvky, gumový kábel, vonkajší, 3m;solight;Solight predlžovací prívod IP44, 3 zásuvky, gumový kábel, vonkajší, 3m;https://www.premiumstore.sk/solight-predlzovaci-privod-ip44--3-zasuvky--gumovy-kabel--vonkajsi--3m/;OK
8592718027308;https://premiumstore.sk/solight-led-vianocna-retaz-hviezdy-1-5m-10x-led-2x-aa-zlute-svetlo#21453;Solight LED vianočná reťaz, hviezdy, 1,5m, 10x LED, 2x AA, žluté svetlo;solight;Solight LED vianočná reťaz, hviezdy, 1,5m, 10x LED, 2x AA, žluté svetlo;https://www.premiumstore.sk/solight-led-vianocna-retaz--hviezdy--1-5m--10x-led--2x-aa--zlute-svetlo/;OK
8592718026332;https://premiumstore.sk/solight-predlzovaci-privod-na-bubne-1-zasuvka-vonkajsi-50m-gumovy-kabel-3x-1-5mm2-ip44#21451;Solight predlžovací prívod na bubne, 1 zásuvka, vonkajší, 50m gumový kábel, 3x 1,5mm2, IP44;solight;Solight predlžovací prívod na bubne, 1 zásuvka, vonkajší, 50m gumový kábel, 3x 1,5mm2, IP44;https://www.premiumstore.sk/solight-predlzovaci-privod-na-bubne--1-zasuvka--vonkajsi--50m-gumovy-kabel--3x-1-5mm2--ip44/;OK
8592718026691;https://premiumstore.sk/solight-led-nabijacie-svietidlo-s-cyklo-drziakom-400lm-zoom-li-ion#21450;Solight LED nabíjacie svietidlo s cyklo držiakom, 400lm, zoom, Li-Ion;solight;Solight LED nabíjacie svietidlo s cyklo držiakom, 400lm, zoom, Li-Ion;https://www.premiumstore.sk/solight-led-nabijacie-svietidlo-s-cyklo-drziakom--400lm--zoom--li-ion/;OK
