old_url;new_url;match_type;old_full_path;new_full_path;old_id
/ostatne-17/;/auto-moto/;ancestor(-1);Auto-moto > Ostatné;Auto-moto;46062
/startovacie-kable-2/;/nabijanie-a-baterie/;exact;Auto-moto > Štartovacie káble;Auto-moto > Nabíjanie a batérie;46197
/videorekordery/;/auto-moto/;ancestor(-1);Auto-moto > Videorekordéry;Auto-moto;46233
/diagnosticke-nastroje/;/garaz--dielna--servis/;exact;Auto-moto > Diagnostické nástroje;Auto-moto > Garáž, dielňa, servis;46530
/kable-a-nabijacky-pre-elektromobily/;/elektromobilita/;exact;Auto-moto > Káble a nabíjačky pre elektromobily;Auto-moto > Elektromobilita;46548
/nabijacky-do-auta-2/;/auto-moto/;ancestor(-1);Auto-moto > Nabíjačky do auta;Auto-moto;46596
/umyvanie-a-cistenie/;/auto-moto/;ancestor(-1);Auto-moto > Umývanie a čistenie;Auto-moto;46677
/monitory-automobilov/;/auto-moto/;ancestor(-1);Auto-moto > Monitory automobilov;Auto-moto;46815
/autoprislusenstvo/;/vybavenie-auta/;exact;Auto-moto > Autopríslušenstvo;Auto-moto > Príslušenstvo do auta;47736
/autoradia-s-usb/;/elektronika-do-auta/;exact;Auto-moto > Autorádiá > Autorádiá s USB;Auto-moto > Elektronika do auta;39447
/autoradia-s-cd/;/elektronika-do-auta/;ancestor(-1);Auto-moto > Autorádiá > Autorádiá s CD;Auto-moto > Elektronika do auta;40023
/subwoofery-do-auta/;/elektronika-do-auta/;ancestor(-1);Auto-moto > Autorádiá > Subwoofery do autá;Auto-moto > Elektronika do auta;40086
/reproduktory-do-auta/;/elektronika-do-auta/;exact;Auto-moto > Autorádiá > Reproduktory do autá;Auto-moto > Elektronika do auta;40140
/prislusenstvo-do-auta/;/elektronika-do-auta/;ancestor(-1);Auto-moto > Autorádiá > Príslušenstvo do autá;Auto-moto > Elektronika do auta;40755
/autoradia-s-dvd/;/elektronika-do-auta/;ancestor(-1);Auto-moto > Autorádiá > Autorádiá s DVD;Auto-moto > Elektronika do auta;40902
/vrecka-do-vysavacov/;/prislusenstvo-k-malym-spotrebicom/;exact;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Vrecká do vysávačov;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39486
/prislusenstvo-k-vysavacom/;/prislusenstvo-k-malym-spotrebicom/;exact;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k vysávačom;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39513
