"code";"pairCode";"name";"guid";"externalId";"ean";"productNumber";"serialNumber";"defaultCategory";"categoryText";"categoryText2";"categoryText3";"categoryText4";"categoryText5";"categoryText6";"categoryText7";"categoryText8";"categoryText9";"categoryText10";"xmlFeedName";""
"MON_GM-5212SW";"";"JTS GM-5212SW Elektretový mikrofón na husom krku s tlačidlom on/off";"d64fdbbe-92cd-11f1-99c3-bc24110eff41";"";"4007754419399";"";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > husí krk";"Profesionálna audio technika > JTS > Inštalácie > Inštalačné mikrofóny";"Profesionálna audio technika > Pódium, diskotéka, DJ > mikrofóny > husí krk";"";"";"";"";"";"";"";"";"Monacor GM-5212SW";""
"SOL_XA05";"";"Solight účastnícka zásuvka koncová so SAT, útlm: 3dB";"f8f58b8e-92d5-11f1-a958-bc24110eff41";"";"8595092105587";"";"";"TV, audio a video > Antény a satelity > Anténne zásuvky";"TV, audio a video > Antény a satelity > Anténne zásuvky";"";"";"";"";"";"";"";"";"";"Solight XA05";""
"SOL_1MN40";"";"Solight veľký naklápací držiak pre ploché TV, 94cm - 190cm (37'' - 75'')";"f90ab25c-92d5-11f1-b9ce-bc24110eff41";"";"8595092122829";"";"";"TV, audio a video > TV stolíky a držiaky > Naklápacie držiaky";"TV, audio a video > TV stolíky a držiaky > Naklápacie držiaky";"";"";"";"";"";"";"";"";"";"Solight 1M01";""
"SOL_WO8017";"";"Solight LED osvetlenie s diaľkovým ovládačom Larios White, 48W, 3360lm, 39cm, zmena chromatickosti, stmievateľná";"f940522c-92d5-11f1-9189-bc24110eff41";"";"8592718039189";"";"";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Interiérové osvetlenie";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Interiérové osvetlenie";"";"";"";"";"";"";"";"";"";"Solight WO8017";""
"SOL_CA08B-M";"";"Solight digitálne hodiny s bluetooth synchronizáciou";"f97d1af4-92d5-11f1-b02e-bc24110eff41";"";"8592718042097";"";"";"Domáce spotrebiče > Malé spotrebiče > Meteostanice";"Domáce spotrebiče > Malé spotrebiče > Meteostanice";"";"";"";"";"";"";"";"";"";"Solight CA08B-M";""
"SOL_1L80B";"";"Solight bezdrôtový zvonček, do zásuvky, 180m, čierny, learning code";"f99cf540-92d5-11f1-ad83-bc24110eff41";"";"8592718034825";"";"";"Elektroinštalačný materiál > Zvončeky";"Elektroinštalačný materiál > Zvončeky";"";"";"";"";"";"";"";"";"";"Solight bezdrátový zvonek, do zásuvky 1L80B";""
"SOL_WO3105";"";"Solight kovový lampáš so žiarovkou s micro LED, teplá biela, 3xAA, 20cm";"f9cb26fe-92d5-11f1-8d60-bc24110eff41";"";"8592718037222";"";"";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Lampáše";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Lampáše";"";"";"";"";"";"";"";"";"";"Solight WO3105";""
"SOL_SSN5200E";"";"Solight anténne konektory, COAX konektor + COAX zdierka, priame, sáčok";"fa5a068a-92d5-11f1-aeae-bc24110eff41";"";"8592718021597";"";"";"TV, audio a video > AV káble > Anténa > Konektory a redukcie > COAX";"TV, audio a video > AV káble > Anténa > Konektory a redukcie > COAX";"";"";"";"";"";"";"";"";"";"COAX spojka, COAX zdierka - COAX konektor, 1ks ZLA0468-2";""
"SOL_P83";"";"Solight rozbočovač, 5 x 2,5A, biely";"fa7c1ffe-92d5-11f1-8761-bc24110eff41";"";"8592718022709";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"";"";"";"";"";"";"";"";"";"Solight P83";""
"SOL_WM56";"";"Solight LED svetelný pás so svetelným a pohybovým senzorom, 1m, 4x AAA";"fa8d11ba-92d5-11f1-a53c-bc24110eff41";"";"8592718020040";"";"";"Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky";"Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky";"";"";"";"";"";"";"";"";"";"Solight SL0020";""
