ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
PC0111;https://premiumstore.sk/prodluzovaci-kabel-emos-pc0111-1-5-m-1-zasuvka-cerny-pvc-1-mm2#74574;Prodlužovací kabel EMOS PC0111 / 1,5 m / 1 zásuvka / černý / PVC / 1 mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
P0055E;https://premiumstore.sk/cestovni-univerzalni-adapter-emos-p0055e-pro-cizince-do-stredni-evropy#74541;SKROSS Cestovní univerzální adaptér EMOS P0055E pro cizince do střední Evropy;;;;;0.00;0;ZIADNA
P3544;https://premiumstore.sk/celovka-emos-p3544-led-nabijeci-500-lm-120-m-li-ion-800-mah#74476;Čelovka EMOS P3544 LED nabíjecí, 500 lm, 120 m, Li-Ion 800 mAh;;"nad 48"" (120 - 165 cm)";"TV, audio a video > Televízory > nad 48"" (120 - 165 cm)";nad-48-120-165-cm-;8.27;1;NIZKA
ZS2833;https://premiumstore.sk/led-reflektor-emos-zs2833-acco-nabijeci-prenosny-50w-studena-bila#74451;LED reflektor EMOS ZS2833 ACCO nabíjecí přenosný, 50W, studená bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2823;https://premiumstore.sk/led-reflektor-emos-zs2823-acco-nabijeci-prenosny-35w-studena-bila#74450;LED reflektor EMOS ZS2823 ACCO nabíjecí přenosný, 35W, studená bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2813;https://premiumstore.sk/led-reflektor-emos-zs2813-acco-nabijeci-prenosny-20w-studena-bila#74449;LED reflektor EMOS ZS2813 ACCO nabíjecí přenosný, 20W, studená bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
A4103;https://premiumstore.sk/sroubova-svorkovnice-12-6-10-mm2-450-v-bila-emos-a4103#74443;Šroubová svorkovnice 12× 6–10 mm2, 450 V, bílá, EMOS A4103;;Svorkovnice a Wago svorky;Náradie a dielňa > Náradie > Stavebné materiál, chémia a technika > Elektroinštalačný materiál > Svorkovnice a Wago svorky;svorkovnice-a-wago-svorky;7.35;1;NIZKA
A4102;https://premiumstore.sk/sroubova-svorkovnice-12-4-6mm2-450-v-bila-emos-a4102#74442;Šroubová svorkovnice 12× 4–6mm2, 450 V, bílá, EMOS A4102;;Svorkovnice a Wago svorky;Náradie a dielňa > Náradie > Stavebné materiál, chémia a technika > Elektroinštalačný materiál > Svorkovnice a Wago svorky;svorkovnice-a-wago-svorky;7.35;1;NIZKA
A4101;https://premiumstore.sk/sroubova-svorkovnice-12-2-5-4-mm2-450-v-bila-emos-a4101#74441;Šroubová svorkovnice 12× 2,5–4 mm2, 450 V, bílá, EMOS A4101;;Svorkovnice a Wago svorky;Náradie a dielňa > Náradie > Stavebné materiál, chémia a technika > Elektroinštalačný materiál > Svorkovnice a Wago svorky;svorkovnice-a-wago-svorky;7.35;1;NIZKA
A2858;https://premiumstore.sk/stahovaci-paska-450-7-6-mm-bila-baleni-25-ks-emos-a2858#74440;Stahovací páska 450×7,6 mm, bílá, balení 25 ks / EMOS A2858;;;;;0.00;0;ZIADNA
