ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
Z7639;https://premiumstore.sk/led-stolni-lampa-emos-z7639-kyle#72412;LED stolní lampa EMOS Z7639 KYLE;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
Z7638W;https://premiumstore.sk/led-stolni-lampa-emos-z7638w-molly-bila#72411;LED stolní lampa EMOS Z7638W MOLLY, bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
Z7638B;https://premiumstore.sk/led-stolni-lampa-emos-z7638b-molly-cerna#72410;LED stolní lampa EMOS Z7638B MOLLY, černá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
Z7633;https://premiumstore.sk/led-stolni-lampa-emos-z7633-jason-nabijeci#72409;LED stolní lampa EMOS Z7633 JASON, nabíjecí;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
P56EXT1;https://premiumstore.sk/ventilator-emos-p56ext1-rozsirujici-radiatorovy-set-bez-zdroje#72407;Ventilátor EMOS P56EXT1 rozšířující radiátorový set BEZ ZDROJE;;SET-TOP-BOXY;TV, audio a video > Antény a satelity > SET-TOP-BOXY;set-top-boxy;7.17;1;NIZKA
P56PR3;https://premiumstore.sk/ventilator-emos-p56pr3-pod-radiator-trio-bily#72406;Ventilátor EMOS P56PR3 pod radiátor TRIO, bílý;;Podložky pod myš;TV, audio a video > Počítače a príslušenstvo > PC periférie > Podložky pod myš;podlozky-pod-mys;7.57;1;NIZKA
P56PR2;https://premiumstore.sk/ventilator-emos-p56pr2-pod-radiator-duo-bily#72405;Ventilátor EMOS P56PR2 pod radiátor DUO, bílý;;Podložky pod myš;TV, audio a video > Počítače a príslušenstvo > PC periférie > Podložky pod myš;podlozky-pod-mys;7.57;1;NIZKA
P56PR1;https://premiumstore.sk/ventilator-emos-p56pr1-pod-radiator-mono-bily#72404;Ventilátor EMOS P56PR1 pod radiátor MONO, bílý;;Podložky pod myš;TV, audio a video > Počítače a príslušenstvo > PC periférie > Podložky pod myš;podlozky-pod-mys;7.57;1;NIZKA
F6300;https://premiumstore.sk/oboustranna-paska-nano-emos-f6300-30-mm-3-m-transparentni#72396;Oboustranná páska NANO EMOS F6300 / 30 mm / 3 m, transparentní;;;;;0.00;0;ZIADNA
F6090;https://premiumstore.sk/penova-oboustranna-paska-emos-f6090-20-mm-3-m-zelena#72395;Pěnová oboustranná páska EMOS F6090 20 mm / 3 m, zelená;;;;;0.00;0;ZIADNA
B0555GY;https://premiumstore.sk/powerbanka-emos-wi-522-b0555gy-5-000-mah-20-w-wireless-seda#72383;Powerbanka EMOS WI 522 /B0555GY/, 5 000 mAh, 20 W+Wireless, šedá;;;;;0.00;0;ZIADNA
B0551GY;https://premiumstore.sk/powerbanka-emos-wi-1046-b0551gy-10-000-mah-20-w-wireless-seda#72382;Powerbanka EMOS WI 1046 /B0551GY/, 10 000 mAh, 20 W+Wireless, šedá;;;;;0.00;0;ZIADNA
P1311PD;https://premiumstore.sk/prodluzovaci-kabel-emos-p1311pd-1-5m-3-zasuvky-vypinac-uchyceni-na-stul-usb-cerny-pvc-1-5mm2#72355;Prodlužovací kabel EMOS P1311PD 1,5m/3 zásuvky/vypínač/uchycení na stůl/USB/černý/PVC/1,5mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
5903689627597;https://premiumstore.sk/prodluzovaci-privod-do-racku-19-rack-1u-ac-230v-vypinac-8-zasuvek-kabel-1-8m#72354;"Signal Prodlužovací přívod do Racku (19"" RACK, 1U, AC 230V, vypínač, 8 zásuvek, kabel 1,8m)";;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
L721504;https://premiumstore.sk/legrand-suno-ramecek-ctyrnasobny-bily#72285;Legrand Suno rámeček čtyřnásobný bílý;;;;;0.00;0;ZIADNA
P3214;https://premiumstore.sk/nabijeci-svitilna-emos-p3214-led-plastova-150-lm-1200-mah#72284;Nabíjecí svítilna EMOS P3214 LED, plastová, 150 lm, 1200 mAh;;Plastová revízne dvierka;Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Plastová revízne dvierka;plastova-revizne-dvierka;7.86;1;NIZKA
H5022;https://premiumstore.sk/emos-ip-2213z-h5022-gosmart-opakovac-signalu-pro-zigbee-3-0-branu#72283;EMOS IP-2213Z /H5022/ GoSmart opakovač signálu pro ZigBee 3.0 bránu;;Bezdrátové přenosy signálu;TV, audio a video > Príslušenstvo > Bezdrátové přenosy signálu;bezdratove-prenosy-signalu;7.57;1;NIZKA
P3118;https://premiumstore.sk/nabijeci-svitilna-emos-p3118-led-kovova-600lm-1200-mah#72225;Nabíjecí svítilna EMOS P3118 LED, kovová, 600lm, 1200 mAh;;Kovová revízne dvierka;Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka;kovova-revizne-dvierka;7.57;1;NIZKA
H4058;https://premiumstore.sk/gosmart-venkovni-otocna-kamera-ip-6000-owl-s-4g-lte-seda#72224;Emos GoSmart venkovní otočná kamera IP-6000 OWL s 4G/LTE, šedá;;3G/LTE modemy;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > 3G/LTE modemy;3g-lte-modemy;7.86;1;NIZKA
P5611OT.2R;https://premiumstore.sk/termostat-emos-p5611ot-2r-pokojovy-programovatelny-bezdratovy-opentherm-se-2-prijimaci#72209;Termostat EMOS P5611OT.2R pokojový programovatelný bezdrátový OpenTherm se 2 přijímači;;;;;0.00;0;ZIADNA
5901890110594;https://premiumstore.sk/drzak-telefonu-do-auta-kruger-matz-km1372#72199;"Držák telefonu do auta KRUGER &amp; MATZ KM1372";;Vybavenie autá;Auto-moto > Vybavenie autá;vybavenie-auta;4.08;1;NIZKA
5901890110556;https://premiumstore.sk/drzak-telefonu-do-auta-kruger-matz-km1370#72198;"Držák telefonu do auta KRUGER &amp; MATZ KM1370";;Vybavenie autá;Auto-moto > Vybavenie autá;vybavenie-auta;4.08;1;NIZKA
P2314;https://premiumstore.sk/nabijeci-svitilna-emos-p2314-led-210-lm-1800-mah#72194;Nabíjecí svítilna EMOS P2314 LED, 210 lm, 1800 mAh;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
B0545B;https://premiumstore.sk/powerbanka-emos-wi-521-micro-5-000-mah-20-w-wireless#72159;Powerbanka EMOS WI 521 Micro, 5 000 mAh, 20 W+Wireless;;Micro USB káble;TV, audio a video > Mobily a tablety > USB káble > Micro USB káble;micro-usb-kable;7.17;1;NIZKA
P3322;https://premiumstore.sk/pir-senzor-pohybove-cidlo-emos-p3322-gosmart-s-nocnim-svetlem-wi-fi#72140;PIR senzor (pohybové čidlo) EMOS P3322 GoSmart s nočním světlem, Wi-Fi;;PIR čidlá;Bezpečnosť a smart domácnosť > Zabezpečenie > PIR čidlá;pir-cidla;8.27;1;NIZKA
7513;https://premiumstore.sk/hlidaci-napetove-rele-elko-hrn-55n-v-3fs-pevnymi-urovnemi-3x172-287v-nula#72116;Elko Ep Hlídací napěťové relé ELKO HRN-55N v 3Fs pevnými úrovněmi (3x172-287V+NULA);;Časová, doběhová relé;Elektroinštalačný materiál > Ventilačné technika > Príslušenstvo k ventilátorům > Časová, doběhová relé;casova--dobehova-rele;8.27;1;NIZKA
F6200;https://premiumstore.sk/opravna-lepici-paska-na-polykarbonat-a-sklo-emos-f6200-25-m-x-50-mm-pruhledna#72115;Opravná lepící páska na polykarbonát a sklo EMOS F6200, 25 m x 50 mm, průhledná;;Tvrdené sklo a fólie;TV, audio a video > Mobily a tablety > Tvrdené sklo a fólie;tvrdene-sklo-a-folie;7.35;1;NIZKA
F6110;https://premiumstore.sk/opravna-lepici-paska-na-bazeny-emos-f6110-1-m-x-100-mm-cerna#72114;Opravná lepící páska na bazény EMOS F6110, 1 m x 100 mm, černá;;Typ UVB 100 A;Elektroinštalačný materiál > Rozvádzačové prvky > Bloky pre rozdělení fází > Typ UVB 100 A;typ-uvb-100-a;7.35;1;NIZKA
F6100;https://premiumstore.sk/opravna-lepici-paska-na-bazeny-emos-f6100-1-m-x-100-mm-pruhledna#72113;Opravná lepící páska na bazény EMOS F6100, 1 m x 100 mm, průhledná;;Typ UVB 100 A;Elektroinštalačný materiál > Rozvádzačové prvky > Bloky pre rozdělení fází > Typ UVB 100 A;typ-uvb-100-a;7.35;1;NIZKA
HDR-60-12;https://premiumstore.sk/mean-well-hdr-60-12-prumyslovy-napajeci-spinany-zdroj-12v-54w-na-din#72041;MEAN WELL HDR-60-12 Průmyslový napájecí spínaný zdroj 12V 54W na DIN;;DIN lišty, průchodky a príslušenstvo;Elektroinštalačný materiál > Rozvádzačové prvky > DIN lišty, průchodky a príslušenstvo;din-listy--pruchodky-a-prislusenstvo;6.76;1;NIZKA
HDR-60-15;https://premiumstore.sk/mean-well-hdr-60-15-prumyslovy-napajeci-spinany-zdroj-15v-60w-na-din#72040;MEAN WELL HDR-60-15 Průmyslový napájecí spínaný zdroj 15V 60W na DIN;;DIN lišty, průchodky a príslušenstvo;Elektroinštalačný materiál > Rozvádzačové prvky > DIN lišty, průchodky a príslušenstvo;din-listy--pruchodky-a-prislusenstvo;6.76;1;NIZKA
HDR-60-48;https://premiumstore.sk/mean-well-hdr-60-48-prumyslovy-napajeci-spinany-zdroj-48v-60w-na-din#72039;MEAN WELL HDR-60-48 Průmyslový napájecí spínaný zdroj 48V 60W na DIN;;48V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 48V;48v;8.27;1;NIZKA
HDR-60-5;https://premiumstore.sk/mean-well-hdr-60-5-prumyslovy-napajeci-spinany-zdroj-5v-32-5w-na-din#72038;MEAN WELL HDR-60-5 Průmyslový napájecí spínaný zdroj 5V 32,5W na DIN;;DIN lišty, průchodky a príslušenstvo;Elektroinštalačný materiál > Rozvádzačové prvky > DIN lišty, průchodky a príslušenstvo;din-listy--pruchodky-a-prislusenstvo;6.76;1;NIZKA
P01120;https://premiumstore.sk/prodluzovaci-kabel-emos-p01120-spojka-20m-1-zasuvka-oranzovy-pvc-230-v-1-5-mm2#72037;Prodlužovací kabel EMOS P01120 spojka 20m / 1 zásuvka / oranžový / PVC / 230 V / 1,5 mm2;;Dĺžka 20m;Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 20m;dlzka-20m;8.27;1;NIZKA
J0704;https://premiumstore.sk/emos-city-ring-c500-pkojova-antena-dvb-t2-dab-filtr-lte-4g-5g#72005;EMOS CITY RING-C500 pkojová anténa DVB-T2, DAB, filtr LTE/4G/5G;;Antény VKV - FM - DAB+;TV, audio a video > Antény a satelity > ANTÉNY > Antény VKV - FM - DAB+;anteny-vkv-fm-dab-;8.27;1;NIZKA
L774462;https://premiumstore.sk/legrand-valena-ramecek-dvojnasobny-ciry#72002;Legrand Valena rámeček dvojnásobný čirý;;;;;0.00;0;ZIADNA
L774455;https://premiumstore.sk/legrand-valena-ramecek-petinasobny-bily#72000;Legrand Valena rámeček pětinásobný bílý;;;;;0.00;0;ZIADNA
L774446;https://premiumstore.sk/legrand-valena-zatka-bezpecnostni-bila#71999;Legrand Valena zátka bezpečnostní, bílá;;Bezpečnostní kamery;Domáce spotrebiče > Malé spotrebiče > Žehličky > Domové alarmy a zvončeky > Bezpečnostní kamery;bezpecnostni-kamery;8.27;1;NIZKA
L774451;https://premiumstore.sk/legrand-valena-ramecek-bily#71998;Legrand Valena rámeček bílý;;;;;0.00;0;ZIADNA
L774238;https://premiumstore.sk/legrand-valena-zasuvka-datova-rj45-bila-l774238#71997;Legrand Valena zásuvka datová RJ45, bílá, L774238;;;;;0.00;0;ZIADNA
B2521V;https://premiumstore.sk/nabijeci-baterie-gp-recyko-2100-aa-hr6-6kusu-cena-blistr#71976;Nabíjecí baterie GP ReCyko 2100 AA (HR6), 6kusů --CENA BLISTR--;;Akumulátory, batérie;TV, audio a video > Počítače a príslušenstvo > Akumulátory, batérie;akumulatory--baterie;4.99;1;NIZKA
E30300;https://premiumstore.sk/meric-kvality-vzduchu-emos-e30300-gosmart-s-wifi#71598;Měřič kvality vzduchu EMOS E30300 GoSmart s Wifi;;WiFi routery;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > WiFi routery;wifi-routery;8.27;1;NIZKA
8595689803209;https://premiumstore.sk/dalkovy-ovladac-tesla-te-343#71581;Dálkový ovládač TESLA TE-343;;;;;0.00;0;ZIADNA
BATTINV2X1,5;https://premiumstore.sk/propojovaci-kabely-baterie-a-menice-napeti-d-1-5m-25mm2-2x-ocko-m8-par#71578;Solarfam Propojovací kabely baterie a měniče napětí d. 1,5m, 25mm2, 2x očko M8 - pár;;Reflektory PAR;Profesionálna audio technika > Svetlá > Reflektory PAR;reflektory-par;7.35;1;NIZKA
WPU-800-12;https://premiumstore.sk/zalozni-zdroj-mhpower-wpu-800-12-ups-800w-12v-cisty-sinus#71483;Záložní zdroj MHPower WPU-800-12 UPS 800W 12V čistý sinus;;Záložné zdroje a UPS;Fotovoltaika a energie > Záložné zdroje a UPS;zalozne-zdroje-a-ups;7.01;1;NIZKA
WPU-500-12;https://premiumstore.sk/zalozni-zdroj-mhpower-wpu-500-12-ups-500w-12v-cisty-sinus#71482;Záložní zdroj MHPower WPU-500-12 UPS 500W 12V čistý sinus;;"Typ PVB (""hranaté"") 160 - 500 A";"Elektroinštalačný materiál > Rozvádzačové prvky > Bloky pre rozdělení fází > Typ PVB (""hranaté"") 160 - 500 A";typ-pvb-hranate-160-500-a;8.27;1;NIZKA
WPU-700-12;https://premiumstore.sk/zalozni-zdroj-mhpower-wpu-700-12-ups-700w-12v-cisty-sinus#71481;Záložní zdroj MHPower WPU-700-12 UPS 700W 12V čistý sinus;;Záložné zdroje a UPS;Fotovoltaika a energie > Záložné zdroje a UPS;zalozne-zdroje-a-ups;7.01;1;NIZKA
WPU-300-12;https://premiumstore.sk/zalozni-zdroj-mhpower-wpu-300-12-ups-300w-12v-cisty-sinus#71480;Záložní zdroj MHPower WPU-300-12 UPS 300W 12V čistý sinus;;Záložné zdroje a UPS;Fotovoltaika a energie > Záložné zdroje a UPS;zalozne-zdroje-a-ups;7.01;1;NIZKA
RNP150-L;https://premiumstore.sk/vodici-lista-solight-rnp150-l-pro-akumulatorovou-pilu-rnp150#71475;Vodící lišta Solight RNP150-L pro akumulátorovou pilu RNP150;;;;;0.00;0;ZIADNA
5908254813184;https://premiumstore.sk/stropni-osvetleni-orno-virone-rovo-pir-2x-e27#71440;Stropní osvětlení ORNO VIRONE ROVO PIR 2x E27;;PIR čidlá;Bezpečnosť a smart domácnosť > Zabezpečenie > PIR čidlá;pir-cidla;8.27;1;NIZKA
P4540;https://premiumstore.sk/emos-p4540-cob-led-nabijeci-svitilna-750-lm-1800-mah#70893;EMOS P4540 COB LED nabíjecí svítilna, 750 lm, 1800 mAh;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
344-00000-52;https://premiumstore.sk/tigo-cloudconnect-advance-kit-vcetne-tap#70471;Tigo CloudConnect Advance Kit včetně TAP;;Včetně konektorů;Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble > Včetně konektorů;vcetne-konektoru;8.27;1;NIZKA
B2527V;https://premiumstore.sk/nabijeci-baterie-gp-recyko-2600-aa-hr6-6kusu-cena-blistr#69796;Nabíjecí baterie GP ReCyko 2600 AA (HR6), 6kusů --CENA BLISTR--;;Akumulátory, batérie;TV, audio a video > Počítače a príslušenstvo > Akumulátory, batérie;akumulatory--baterie;4.99;1;NIZKA
B2620V;https://premiumstore.sk/nabijeci-baterie-gp-recyko-pro-professional-2000-aa-hr6-6kusu-cena-blistr#69795;Nabíjecí baterie GP ReCyko Pro Professional 2000 AA (HR6), 6kusů --CENA BLISTR--;;Akumulátory, batérie;TV, audio a video > Počítače a príslušenstvo > Akumulátory, batérie;akumulatory--baterie;4.99;1;NIZKA
3WR-BVR4UT4-6;https://premiumstore.sk/propojovaci-kabely-pro-baterie-menice-d-50cm-5mm2-2x-vidlicka-m6-par-3wr-bvr4ut4-6#69790;Propojovací kabely pro baterie, měniče, d.50cm, 5mm2, 2x vidlička M6 - pár (3WR-BVR4UT4-6);;"Prepojovacie lišty tvar kontaktu ""vidlička""";"Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie lišty > Prepojovacie lišty tvar kontaktu ""vidlička""";prepojovacie-listy-tvar-kontaktu--vidlicka;7.86;1;NIZKA
8595100174963;https://premiumstore.sk/den-braven-lepidlomamut-glue-clear-uv-290ml-kartuse-transparentni#69765;Denbraven Den Braven LepidloMAMUT GLUE Clear UV 290ml kartuše transparentní;;Pištole na kartuše;Náradie a dielňa > Stavebné a maliarske náradie > Murárske práce > Pištole na kartuše;pistole-na-kartuse;8.27;1;NIZKA
B01202;https://premiumstore.sk/baterie-gp-super-alkaline-lr6-aa-2-kusy#69760;Baterie GP Super Alkaline LR6 (AA) 2 kusy;;Akumulátory, batérie;TV, audio a video > Počítače a príslušenstvo > Akumulátory, batérie;akumulatory--baterie;4.99;1;NIZKA
B0124T;https://premiumstore.sk/baterie-gp-super-alkaline-lr6-aa-12-kusu#69737;Baterie GP Super Alkaline LR6 (AA) 12 kusů;;Akumulátory, batérie;TV, audio a video > Počítače a príslušenstvo > Akumulátory, batérie;akumulatory--baterie;4.99;1;NIZKA
P4714;https://premiumstore.sk/emos-p4714-nabijeci-mini-led-svitilna-privesek-750-lm-500mah-dosvit-40m#69709;EMOS P4714 Nabíjecí mini LED svítilna – přívěšek, 750 lm, 500mAh, dosvit 40m;;Dĺžka 40m;Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 40m;dlzka-40m;8.27;1;NIZKA
P5552;https://premiumstore.sk/zasuvka-emos-p5552-chytra-wi-fi-meric-spotreby-16a-3680w-ip44-cerna#69706;Zásuvka EMOS P5552 chytrá Wi-Fi | měřič spotřeby | 16A | 3680W | IP44 | černá;;Vypínače a zásuvky GALATEA IP44;Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Vypínače a zásuvky GALATEA IP44;vypinace-a-zasuvky-galatea-ip44;8.27;1;NIZKA
cn-06;https://premiumstore.sk/prodluzovaci-kabel-3m-napajeciho-konektoru-5-5-2-1mm#69629;Premiumcord Prodlužovací kabel 3m napájecího konektoru 5,5/2,1mm;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
B01511;https://premiumstore.sk/alkalicka-baterie-gp-super-alkaline-9v-6lr61#69626;Alkalická baterie GP Super Alkaline 9V (6LR61);;Akumulátory, batérie;TV, audio a video > Počítače a príslušenstvo > Akumulátory, batérie;akumulatory--baterie;4.99;1;NIZKA
B03511;https://premiumstore.sk/alkalicka-baterie-gp-ultra-plus-6lf22-9v-krabicka#69625;Alkalická baterie GP Ultra Plus 6LF22 (9V), krabička;;Televízory Ultra HD (4K);TV, audio a video > Televízory > Televízory Ultra HD (4K);televizory-ultra-hd--4k;7.86;1;NIZKA
B03214;https://premiumstore.sk/baterie-gp-ultra-plus-alkaline-lr6-aa-4-kusy#69624;Baterie GP Ultra Plus Alkaline LR6 (AA) 4 kusy;;Televízory Ultra HD (4K);TV, audio a video > Televízory > Televízory Ultra HD (4K);televizory-ultra-hd--4k;7.86;1;NIZKA
B03212;https://premiumstore.sk/baterie-gp-ultra-plus-alkaline-lr6-aa-2-kusy#69623;Baterie GP Ultra Plus Alkaline LR6 (AA) 2 kusy;;Televízory Ultra HD (4K);TV, audio a video > Televízory > Televízory Ultra HD (4K);televizory-ultra-hd--4k;7.86;1;NIZKA
8697460233745;https://premiumstore.sk/zdroj-teletek-ma-1602-12v-4a-pro-multiprepinace-13-17-xxx#69605;Zdroj TeleTek MA-1602 12V 4A pro multipřepínače 13,17 /xxx;;Multipřepínače;TV, audio a video > Antény a satelity > Satelitné príslušenstvo > Multipřepínače;multiprepinace;7.01;1;NIZKA
5901890096409;https://premiumstore.sk/kruger-matz-km2010-autoradio-s-carplay-androidauto#69593;"Kruger &amp; Matz Kruger&amp;Matz KM2010 autorádio s CarPlay/AndroidAuto";;Bezdrôtové adaptéry CarPlay;Auto-moto > Bezdrôtové adaptéry CarPlay;bezdrotove-adaptery-carplay;7.86;1;NIZKA
SSPB01;https://premiumstore.sk/powerbanka-solight-sspb01#69588;Powerbanka Solight SSPB01;;;;;0.00;0;ZIADNA
P08550W;https://premiumstore.sk/prodluzovaci-kabel-emos-p08550w-na-bubnu-50-m-4-zasuvky-modry-pvc-230-v-1-5-mm2#69587;Prodlužovací kabel EMOS P08550W na bubnu 50 m / 4 zásuvky / modrý / PVC / 230 V / 1,5 mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
P08525W;https://premiumstore.sk/prodluzovaci-kabel-emos-p08525w-na-bubnu-25-m-4-zasuvky-modry-pvc-230-v-1-5-mm2#69586;Prodlužovací kabel EMOS P08525W na bubnu 25 m / 4 zásuvky / modrý / PVC / 230 V / 1,5 mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
P01420W;https://premiumstore.sk/prodluzovaci-kabel-weatherproof-emos-p01420w-spojka-20-m-modry-silikon-1-5-mm2#69585;Prodlužovací kabel Weatherproof EMOS P01420W spojka 20 m / modrý / silikon / 1,5 mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
P01410W;https://premiumstore.sk/prodluzovaci-kabel-weatherproof-emos-p01410w-spojka-10-m-modry-silikon-1-5-mm2#69584;Prodlužovací kabel Weatherproof EMOS P01410W spojka 10 m / modrý / silikon / 1,5 mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
P5686;https://premiumstore.sk/termostat-emos-p5686-prilozny-manualni-jimkovy-s-displejem#69583;Termostat EMOS P5686 příložný manuální jímkový s displejem;;;;;0.00;0;ZIADNA
P5685;https://premiumstore.sk/termostat-emos-p5685-prilozny-manualni-jimkovy#69582;Termostat EMOS P5685 příložný manuální jímkový;;;;;0.00;0;ZIADNA
8595225200172;https://premiumstore.sk/konzola-antenni-mini-25cm#5907;Console Konzola anténní mini 25cm;;Anténní bleskojistky;TV, audio a video > Antény a satelity > PASIVNÍ PRVKY > Anténní bleskojistky;antenni-bleskojistky;7.86;1;NIZKA
PDU-COMBI;https://premiumstore.sk/prodluzovaci-privod-do-racku-masterlan-pdu-combi-19#69578;"Prodlužovací přívod do Racku Masterlan PDU-COMBI 19""";;;;;0.00;0;ZIADNA
PDU-8IEC-MS;https://premiumstore.sk/prodluzovaci-privod-do-racku-masterlan-pdu-8iec-ms#69577;Prodlužovací přívod do Racku Masterlan PDU-8IEC-MS;;;;;0.00;0;ZIADNA
P0023N;https://premiumstore.sk/zasuvka-emos-p0023n-16a-3680w-rozbocovaci-2-kulata-1-plocha-bila#69575;Zásuvka EMOS P0023N /16A, 3680W/ rozbočovací 2× kulatá + 1× plochá, bílá;;;;;0.00;0;ZIADNA
P5551;https://premiumstore.sk/zasuvka-emos-p5551-chytra-wi-fi-meric-spotreby-16a-3680w-bila#69571;Zásuvka EMOS P5551 chytrá Wi-Fi | měřič spotřeby | 16A | 3680W | bílá;;;;;0.00;0;ZIADNA
MP510 KIT;https://premiumstore.sk/mercusys-mp510-kit-powerline-wi-fi-kit#69539;MERCUSYS MP510 KIT Powerline Wi-Fi Kit;;Powerline;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > Powerline;powerline;8.27;1;NIZKA
EY800W;https://premiumstore.sk/tester-solarnich-panelu-elejoy-ey-800w#69538;Ostatní Tester solárních panelů ELEJOY EY-800W;;Počítadla provozních hodin do panelu;Elektroinštalačný materiál > Elektromery a spínacie technika > Počítadla provozních hodin > Počítadla provozních hodin do panelu;pocitadla-provoznich-hodin-do-panelu;8.27;1;NIZKA
PAL-ADP-50AN;https://premiumstore.sk/pt-adapter-epever-pal-adp-50an#69537;PT Adapter Epever PAL-ADP-50AN;;;;;0.00;0;ZIADNA
RTS300R47K3.81A;https://premiumstore.sk/snimac-teploty-epever-rts300r47k3-81a#69536;Snímač teploty Epever RTS300R47K3.81A;;;;;0.00;0;ZIADNA
MT11;https://premiumstore.sk/externi-displej-epever-mt-11-pro-solarni-regulator-duoracer#69535;Externí displej EPever MT-11 pro solární regulátor DuoRacer;;LCD displej / PC monitor;Šport, hračky a voľný čas > Mikroskopy > LCD displej / PC monitor;lcd-displej-pc-monitor;8.27;1;NIZKA
VS3024AU;https://premiumstore.sk/solarni-regulator-pwm-epever-vs3024au-12-24v-30a-s-lcd-displejem#69534;Solární regulátor PWM Epever VS3024AU, 12/24V, 30A s LCD displejem;;Solárne regulátory PWM;Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory PWM;solarne-regulatory-pwm;8.27;1;NIZKA
VS2024AU;https://premiumstore.sk/solarni-regulator-pwm-epever-vs2024au-12-24v-20a-s-lcd-displejem#69533;Solární regulátor PWM Epever VS2024AU, 12/24V, 20A s LCD displejem;;Solárne regulátory PWM;Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory PWM;solarne-regulatory-pwm;8.27;1;NIZKA
LS3024B;https://premiumstore.sk/solarni-regulator-pwm-epever-ls3024b-12-24v-30a#69531;Solární regulátor PWM Epever LS3024B, 12/24V, 30A;;Solárne regulátory PWM;Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory PWM;solarne-regulatory-pwm;8.27;1;NIZKA
LS2024B;https://premiumstore.sk/solarni-regulator-pwm-epever-ls2024b-12-24v-20a#69530;Solární regulátor PWM Epever LS2024B, 12/24V, 20A;;Solárne regulátory PWM;Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory PWM;solarne-regulatory-pwm;8.27;1;NIZKA
DR1206-DDS;https://premiumstore.sk/solarni-regulator-mppt-epever-dr1206-dds-12-24v-10a-60v-duoracer#69529;Solární regulátor MPPT EPever DR1206-DDS, 12/24V, 10A, 60V DuoRacer;;Solárne regulátory MPPT;Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory MPPT;solarne-regulatory-mppt;8.27;1;NIZKA
RC80;https://premiumstore.sk/dalkove-ovladani-carspa-rc80-k-menicum-napeti-carspa-rady-px#69514;Dálkové ovládání Carspa RC80 k měničům napětí Carspa řady PX;;Dálkově ovládané;Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Spínacie zásuvky > Dálkově ovládané;dalkove-ovladane;8.27;1;NIZKA
PDU-FR4K8;https://premiumstore.sk/prodluzovaci-privod-do-racku-mhpower-pdu-fr4k8#69511;Prodlužovací přívod do Racku MHPower PDU-FR4K8;;;;;0.00;0;ZIADNA
