"shopId","shopName","PRODUCT","PRODUCTNAME","ITEM_ID","URL","CATEGORYTEXT","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"4603","Premiumstore.sk","COAX spojka, COAX zdierka - COAX konektor, 1ks ZLA0468-2","","SOL_SSN5600E","https://www.premiumstore.sk/solight-antenny-coax-zdierka-priama-typ-taliansko--10ks--sacok/","Heureka.sk | Elektronika | TV, audio, video | Hi-Fi komponenty | AV prijímače","5.5","8595092115456","8595092115456","COAX spojka, COAX zdierka - COAX konektor, 1ks ZLA0468-2","Auto-moto | Všetko pre autá | Autodiely | Diely v motorovom priestore | Spojky","6.59","6.59","spojky.heureka.sk/coax-spojka-coax-zdierka-coax-konektor-1ks-zla0468-2_3"
"4603","Premiumstore.sk","Filtr Freewell zo série Sherpa Magnetic Mist 3v1","","091589","https://www.premiumstore.sk/filtr-freewell-zo-serie-sherpa-magnetic-mist-3v1/","TV, audio a video | Foto a optika | Filtre | Pre smartfóny","73.9","4897143172758","","","","","",""
"4603","Premiumstore.sk","Kamera TP-Link Mercusys MC210 IP, 3 Mpx, WiFi, prisvietenie","","PEN_52932499","https://www.premiumstore.sk/kamera-tp-link-mercusys-mc210-ip--3-mpx--wifi--prisvietenie/","Heureka.sk | Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","22.5","6957939004477","6957939004477","Mercusys MC210","Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","18.29","23.99","ip-kamery.heureka.sk/mercusys-mc210_2"
"4603","Premiumstore.sk","Monacor MKPA-330 Filmový kondenzátor MKP, 33 µF, 250 V","","MON_MKPA-330","https://www.premiumstore.sk/monacor-mkpa-330-filmovy-kondenzator-mkp--33-f--250-v/","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Príslušenstvo k reproduktorom | Stojany a držiaky na reproduktory","12.9","4007754221954","","","","","",""
"4603","Premiumstore.sk","Solight LED drevený vianočný stromček s dekoráciami, 17x LED, biela, 45cm, 2x AA","","SOL_1V305","https://www.premiumstore.sk/solight-led-dreveny-vianocny-stromcek-s-dekoraciami--17x-led--biela--45cm--2x-aa/","Heureka.sk | Bývanie a doplnky | Bytové dekorácie | Sviatočné dekorácie | Vianoce | Vianočné osvetlenie","15","","","","","","",""
"4603","Premiumstore.sk","TERRAMASTER F8 SSD Plus – súborový server NAS s procesorom Intel Core i3-N305, 16 GB RAM, 8 pozícií","","090322","https://www.premiumstore.sk/terramaster-f8-ssd-plus---suborovy-server-nas-s-procesorom-intel-core-i3-n305--16-gb-ram--8-pozicii/","Heureka.sk | Elektronika | TV, audio, video | Hi-Fi komponenty | Sieťové prehrávače","873","6939236145855","","","","","",""
"4603","Premiumstore.sk","Bose Pro BOSE MB210-WR subwoofer","","BAS_BASYS-B_811432-0210","https://www.premiumstore.sk/bose-mb210-wr-subwoofer/","Profesionálna audio technika | Plošné ozvučenie (100V rozhlasové ozvučenie)","1230","","","","","","",""
"4603","Premiumstore.sk","Elokance LINECLUBCOVERPACK Accessories (Cases, Stands)","","MON_LINECLUBCOVERPACK","https://www.premiumstore.sk/elokance-lineclubcoverpack-accessories--cases--stands/","Profesionálna audio technika | Pódium, diskotéka, DJ | reproduktorové systémy | príslušenstvo","92","3700752712752","","","","","",""
"4603","Premiumstore.sk","Kamera TP-Link Tapo C545D 3MPx duál, vonkajšia, IP PTZ, WiFi, prísvit","","PEN_52932452","https://www.premiumstore.sk/kamera-tp-link-tapo-c545d-3mpx-dual--vonkajsia--ip-ptz--wifi--prisvit/","Heureka.sk | Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","123.9","8885020629255","8885020629255","Tapo C545D","Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","88.26","118.17","ip-kamery.heureka.sk/tapo-c545d"
"4603","Premiumstore.sk","Monacor DRM-884VAP Nástenný modul pre ovládanie hlasitosti s audio výstupom","","MON_DRM-884VAP","https://www.premiumstore.sk/monacor-drm-884vap-nastenny-modul-pre-ovladanie-hlasitosti-s-audio-vystupom/","Profesionálna audio technika | Plošné ozvučenie (100V rozhlasové ozvučenie) | Matrix/mixy audio","277","4007754261806","","","","","",""
"4603","Premiumstore.sk","Náhradné nože pre gilotínu LIENE určenú pre tlačiarne PixCut S1","","088038","https://www.premiumstore.sk/nahradne-noze-pre-gilotinu-liene-urcenu-pre-tlaciarne-pixcut-s1/","Heureka.sk | Elektronika | Počítače a notebooky | Tlačiarne a príslušenstvo | Tlačiarne","13","6971398602319","","","","","",""
"4603","Premiumstore.sk","Samsung OLED QE55S99H","","KB_100002204133","https://www.premiumstore.sk/samsung-oled-qe55s99h/","Heureka.sk | Elektronika | TV, audio, video | Televízory","2228.9","8806099126230","8806099126230","Samsung QE55S99HAT","Elektronika | TV, audio, video | Televízory","2169","2599","televizor.heureka.sk/samsung-qe55s99hat_2"
"4603","Premiumstore.sk","TERRAMASTER F2-425 – 2-diskový NAS súborový server","","090315","https://www.premiumstore.sk/terramaster-f2-425---2-diskovy-nas-suborovy-server/","Heureka.sk | Elektronika | TV, audio, video | Hi-Fi komponenty | Sieťové prehrávače","309.5","6939236147347","","","","","",""
"4603","Premiumstore.sk","Adaptér Viture Pro USB-C XR pre iPhone","","073063","https://www.premiumstore.sk/adapter-viture-pro-usb-c-xr-pre-iphone/","Heureka.sk | Gaming | Herné príslušenstvo | Príslušenstvo k herným konzolám | Ostatné príslušenstvo k herným konzolám","61","1230000160193","","","","","",""
"4603","Premiumstore.sk","Cabelcon 98029072-02","","AT_98029072-02","https://www.premiumstore.sk/kleste-kompresni-cabelcon-cx3-all-size/","Heureka.sk | Elektronika | TV, audio, video | Príslušenstvo k TV, audio-video | Príslušenstvo k TV | Antény | Satelitné antény","73.5","5707957085689","","","","","",""
"4603","Premiumstore.sk","Energy Sistem Street Play Speaker Bluetooth reproduktor, cherry","","BAS_BASYS-EN_459247","https://www.premiumstore.sk/energy-sistem-street-play-speaker-bluetooth-reproduktor--cherry/","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Reprosústavy a reproduktory","24.9","","","","","","",""
"4603","Premiumstore.sk","Kruger & Matz Zdroj univerzální Kruger&Matz KM1450-90 90W Power Delivery 7 koncovek Adaptér pro notebooky","","AT_LEC-KM1450-90","https://www.premiumstore.sk/zdroj-univerzalni-kruger-matz-km1450-90-90w-power-delivery-7-koncovek-adapter-pro-notebooky/","Heureka.sk | Elektronika | Mobily, tablety, nositeľná elektronika | Príslušenstvo k mobilom | Batérie a nabíjačky pre mobily | Nabíjačky pre mobilné telefóny","26.5","5901890123976","","","","","",""
"4603","Premiumstore.sk","Monacor SAM-500D Aktívny modul subwooferu","","MON_SAM-500D","https://www.premiumstore.sk/monacor-sam-500d-aktivny-modul-subwooferu/","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Príslušenstvo k reproduktorom | Stojany a držiaky na reproduktory","427","4007754231588","","","","","",""
"4603","Premiumstore.sk","Solight LED reťaz s hviezdou na vianočný strom, výška 2,1m, 212 LED, IP44","","SOL_1V308","https://www.premiumstore.sk/solight-led-retaz-s-hviezdou-na-vianocny-strom--vyska-2-1m--212-led--ip44/","Heureka.sk | Bývanie a doplnky | Bytové dekorácie | Sviatočné dekorácie | Vianoce | Vianočné osvetlenie","17","","","","","","",""
"4603","Premiumstore.sk","USB Bluetooth adaptér VU+ Bluetooth 4.1","","AT_VUBLU","https://www.premiumstore.sk/usb-bluetooth-adapter-vu--bluetooth-4-1/","Heureka.sk | Elektronika | TV, audio, video | Satelitná a digitálna technika | Satelitné prijímače","28","","","","","","",""
"4603","Premiumstore.sk","Bezdrôtový ovládač GameSir Nova 2 Lite Champion Edition","","086662","https://www.premiumstore.sk/bezdrotovy-ovladac-gamesir-nova-2-lite-champion-edition/","Heureka.sk | Gaming | Herné príslušenstvo | Herné ovládače | Gamepady","28.9","6936685223158","6936685223158","GameSir Nova Lite 2 Champion Edition HRG71099","Gaming | Herné príslušenstvo | Herné ovládače | Gamepady","32.99","42.18","gamepady.heureka.sk/gamesir-nova-lite-2-champion-edition-hrg71099"
