"importProduktId","shopName","CATEGORYTEXT","shopId","PRODUCT","PRODUCTNAME","ITEM_ID","URL","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"2514061222","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Reprosústavy a reproduktory","4603","Monacor EDL-255/WS PA nástenný a stropný reproduktor","","MON_EDL-255_WS","https://www.premiumstore.sk/monacor-edl-255-ws-pa-nastenny-a-stropny-reproduktor/","115.5","4007754064544","","","","","",""
"2514062667","Premiumstore.sk","Profesionálna audio technika | Svetlá | Špeciálne efekty a náplne | Výrobníky ťažkého dymu","4603","Evoli HEAVYFOG2000P Heavy Fog Machine","","MON_HEAVYFOG2000P","https://www.premiumstore.sk/evoli-heavyfog2000p-heavy-fog-machine/","819","3700752718327","","","","","",""
"2514062785","Premiumstore.sk","Profesionálna audio technika | Svetlá | Reflektory PAR | LED PAR reflektory","4603","MacMa SILENTPAR7X10W6IN1 Led Par Cans","","MON_SILENTPAR7X10W6IN1","https://www.premiumstore.sk/macma-silentpar7x10w6in1-led-par-cans/","143","3700752715296","","","","","",""
"2514059342","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Vodné športy | Potápačské vybavenie | Podvodné skútre","4603","Waydoo Subnado Plus rukoväť","","083565","https://www.premiumstore.sk/waydoo-subnado-plus-rukovat/","70","6974416942169","","","","","",""
"2514061457","Premiumstore.sk","Profesionálna audio technika | Pódium, diskotéka, DJ | Audio procesory","4603","Monacor MCX-200/SW Electronická stereo frekvenčná výhybka","","MON_MCX-200_SW","https://www.premiumstore.sk/monacor-mcx-200-sw-electronicka-stereo-frekvencna-vyhybka/","133","4007754182712","","","","","",""
"2514070808","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Príslušenstvo k TV, audio-video | Príslušenstvo k TV | Antény | Satelitné antény","4603","Console Konzola na stožár jezdec 42 mm / 50 cm - čtverec","","AT_KSJ5042C","https://www.premiumstore.sk/konzola-na-stozar-jezdec-42-mm-50-cm-ctverec/","22.9","","","","","","",""
"2514062752","Premiumstore.sk","Profesionálna audio technika | Svetlá | Otočné hlavy a skenery | Moving Heads Spot","4603","MacMa IZY80SPOT Moving Heads Spot","","MON_IZY80SPOT","https://www.premiumstore.sk/macma-izy80spot-moving-heads-spot/","286","3700752719348","","","","","",""
"2514071610","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Príslušenstvo k TV, audio-video | Príslušenstvo k TV | Antény | Satelitné antény","4603","Console Koleno pro kabely na stožár 42-48 mm","","AT_TCZ-3021841","https://www.premiumstore.sk/koleno-pro-kabely-na-stozar-42-48-mm/","23.5","","","","","","",""
"2514128581","Premiumstore.sk","TV, audio a video | Audio technika | Doplnky","4603","Sonos Separated Banana Plug - 10 Pack (5 pairs)","","SPBPBWW1BLK","https://www.premiumstore.sk/sonos-separated-banana-plug-10-pack--5-pairs-/","79","8717755776914","","","","","",""
"2514059258","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Tlačiarne a príslušenstvo | Náplne a farby do tlačiarní | Tlačové struny","4603","Trojfarebné vlákno Sunlu PLA+ Silk (čierna, zlatá a fialová)","","085223","https://www.premiumstore.sk/trojfarebne-vlakno-sunlu-pla--silk--cierna--zlata-a-fialova/","17.5","6933582315733","","","","","",""
